"aar","bydel_nr","Bydel","enhet","tabellvariabel","tabell_navn","botid_5","vreg_3","fylke_nr","Fylke","kommune_nr","naringsregion_nr"
"2014","030110","NULL","personer","5306","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030111",,"navn","Stovner","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","1829","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","8679","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","10508","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","866","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","1211","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","2077","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","422","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","1205","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","1627","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","541","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","6263","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","6804","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030111","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030112",,"navn","Alna","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","2802","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","13390","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","16192","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","1166","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","1839","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","3005","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","712","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","2190","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","2902","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","924","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","9361","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","10285","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030112","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030113",,"navn","�stensj�","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","2653","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","5692","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","8345","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","971","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","1054","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","2025","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","633","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","942","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","1575","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","1049","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","3696","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","4745","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030113","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030114",,"navn","Nordstrand","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","3455","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","3050","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","6505","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","1377","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","789","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","2166","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","743","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","547","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","1290","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","1335","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","1714","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","3049","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030114","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030115",,"navn","S�ndreNordstrand","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","2632","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","9706","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","12338","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","1112","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","1156","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","2268","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","632","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","1325","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","1957","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","888","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","7225","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","8113","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030115","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030116",,"navn","Sentrum","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","283","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","201","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","484","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","200","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","77","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","277","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","46","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","31","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","77","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","37","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","93","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","130","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030116","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030117",,"navn","Marka","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","116","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","37","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","153","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","56","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","19","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","75","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","18","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030117","NULL","personer","9","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
