"aar","fylke_nr","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2011","20","funkhem","kroner","3255885","tilskudd","NULL","NULL"
"2011","20","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","20","em_tilsk","kroner","17959589","tilskudd","NULL","NULL"
"2011","20","barnehage_tilsk","kroner","227700","tilskudd","NULL","NULL"
"2011","20","eldre_tilsk","kroner","138700","tilskudd","NULL","NULL"
"2011","20","skole_tilsk","kroner","1948800","tilskudd","NULL","NULL"
"2011","99","totalt","kroner","0","tilskudd","NULL","NULL"
"2011","99","inttilsk_1_5","kroner","0","tilskudd","NULL","NULL"
"2011","99","inttilsk_1","kroner","0","tilskudd","NULL","NULL"
"2011","99","inttilsk_2_5","kroner","0","tilskudd","NULL","NULL"
"2011","99","funkhem","kroner","0","tilskudd","NULL","NULL"
"2011","99","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","99","em_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","99","barnehage_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","99","eldre_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","99","skole_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","NULL","totalt","kroner","6015532","tilskudd","0101","NULL"
"2011","NULL","inttilsk_1_5","kroner","5563000","tilskudd","0101","NULL"
"2011","NULL","inttilsk_1","kroner","2590000","tilskudd","0101","NULL"
"2011","NULL","inttilsk_2_5","kroner","2973000","tilskudd","0101","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0101","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0101","NULL"
"2011","NULL","em_tilsk","kroner","369432","tilskudd","0101","NULL"
"2011","NULL","barnehage_tilsk","kroner","62100","tilskudd","0101","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0101","NULL"
"2011","NULL","skole_tilsk","kroner","21000","tilskudd","0101","NULL"
"2011","NULL","totalt","kroner","29715819","tilskudd","0104","NULL"
"2011","NULL","inttilsk_1_5","kroner","26066000","tilskudd","0104","NULL"
"2011","NULL","inttilsk_1","kroner","7322500","tilskudd","0104","NULL"
"2011","NULL","inttilsk_2_5","kroner","18743500","tilskudd","0104","NULL"
"2011","NULL","funkhem","kroner","622000","tilskudd","0104","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0104","NULL"
"2011","NULL","em_tilsk","kroner","2398019","tilskudd","0104","NULL"
"2011","NULL","barnehage_tilsk","kroner","62100","tilskudd","0104","NULL"
"2011","NULL","eldre_tilsk","kroner","138700","tilskudd","0104","NULL"
"2011","NULL","skole_tilsk","kroner","429000","tilskudd","0104","NULL"
"2011","NULL","totalt","kroner","46163744","tilskudd","0105","NULL"
"2011","NULL","inttilsk_1_5","kroner","41316500","tilskudd","0105","NULL"
"2011","NULL","inttilsk_1","kroner","14280000","tilskudd","0105","NULL"
"2011","NULL","inttilsk_2_5","kroner","27036500","tilskudd","0105","NULL"
"2011","NULL","funkhem","kroner","2082448","tilskudd","0105","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0105","NULL"
"2011","NULL","em_tilsk","kroner","1350996","tilskudd","0105","NULL"
"2011","NULL","barnehage_tilsk","kroner","124200","tilskudd","0105","NULL"
"2011","NULL","eldre_tilsk","kroner","412100","tilskudd","0105","NULL"
"2011","NULL","skole_tilsk","kroner","877500","tilskudd","0105","NULL"
"2011","NULL","totalt","kroner","46094634","tilskudd","0106","NULL"
"2011","NULL","inttilsk_1_5","kroner","40939400","tilskudd","0106","NULL"
"2011","NULL","inttilsk_1","kroner","8365000","tilskudd","0106","NULL"
"2011","NULL","inttilsk_2_5","kroner","32574400","tilskudd","0106","NULL"
"2011","NULL","funkhem","kroner","2408080","tilskudd","0106","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0106","NULL"
"2011","NULL","em_tilsk","kroner","1794654","tilskudd","0106","NULL"
"2011","NULL","barnehage_tilsk","kroner","82800","tilskudd","0106","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0106","NULL"
"2011","NULL","skole_tilsk","kroner","869700","tilskudd","0106","NULL"
"2011","NULL","totalt","kroner","8005646","tilskudd","0111","NULL"
"2011","NULL","inttilsk_1_5","kroner","5070000","tilskudd","0111","NULL"
"2011","NULL","inttilsk_1","kroner","847500","tilskudd","0111","NULL"
"2011","NULL","inttilsk_2_5","kroner","4222500","tilskudd","0111","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0111","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0111","NULL"
"2011","NULL","em_tilsk","kroner","2904146","tilskudd","0111","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0111","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0111","NULL"
"2011","NULL","skole_tilsk","kroner","31500","tilskudd","0111","NULL"
"2011","NULL","totalt","kroner","610500","tilskudd","0118","NULL"
"2011","NULL","inttilsk_1_5","kroner","600000","tilskudd","0118","NULL"
"2011","NULL","inttilsk_1","kroner","0","tilskudd","0118","NULL"
"2011","NULL","inttilsk_2_5","kroner","600000","tilskudd","0118","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0118","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0118","NULL"
"2011","NULL","em_tilsk","kroner","0","tilskudd","0118","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0118","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0118","NULL"
"2011","NULL","skole_tilsk","kroner","10500","tilskudd","0118","NULL"
"2011","NULL","totalt","kroner","1353500","tilskudd","0119","NULL"
"2011","NULL","inttilsk_1_5","kroner","1343000","tilskudd","0119","NULL"
"2011","NULL","inttilsk_1","kroner","400000","tilskudd","0119","NULL"
"2011","NULL","inttilsk_2_5","kroner","943000","tilskudd","0119","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0119","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0119","NULL"
"2011","NULL","em_tilsk","kroner","0","tilskudd","0119","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0119","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0119","NULL"
"2011","NULL","skole_tilsk","kroner","10500","tilskudd","0119","NULL"
"2011","NULL","totalt","kroner","0","tilskudd","0121","NULL"
"2011","NULL","inttilsk_1_5","kroner","0","tilskudd","0121","NULL"
"2011","NULL","inttilsk_1","kroner","0","tilskudd","0121","NULL"
"2011","NULL","inttilsk_2_5","kroner","0","tilskudd","0121","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0121","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0121","NULL"
"2011","NULL","em_tilsk","kroner","0","tilskudd","0121","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0121","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0121","NULL"
"2011","NULL","skole_tilsk","kroner","0","tilskudd","0121","NULL"
"2011","NULL","totalt","kroner","5567668","tilskudd","0122","NULL"
"2011","NULL","inttilsk_1_5","kroner","3399000","tilskudd","0122","NULL"
"2011","NULL","inttilsk_1","kroner","600000","tilskudd","0122","NULL"
"2011","NULL","inttilsk_2_5","kroner","2799000","tilskudd","0122","NULL"
"2011","NULL","funkhem","kroner","1510948","tilskudd","0122","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0122","NULL"
"2011","NULL","em_tilsk","kroner","615720","tilskudd","0122","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0122","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0122","NULL"
"2011","NULL","skole_tilsk","kroner","42000","tilskudd","0122","NULL"
"2011","NULL","totalt","kroner","3302144","tilskudd","0123","NULL"
"2011","NULL","inttilsk_1_5","kroner","3147500","tilskudd","0123","NULL"
"2011","NULL","inttilsk_1","kroner","730000","tilskudd","0123","NULL"
"2011","NULL","inttilsk_2_5","kroner","2417500","tilskudd","0123","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0123","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0123","NULL"
"2011","NULL","em_tilsk","kroner","123144","tilskudd","0123","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0123","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0123","NULL"
"2011","NULL","skole_tilsk","kroner","31500","tilskudd","0123","NULL"
"2011","NULL","totalt","kroner","7862028","tilskudd","0124","NULL"
"2011","NULL","inttilsk_1_5","kroner","7242500","tilskudd","0124","NULL"
"2011","NULL","inttilsk_1","kroner","1100000","tilskudd","0124","NULL"
"2011","NULL","inttilsk_2_5","kroner","6142500","tilskudd","0124","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0124","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0124","NULL"
"2011","NULL","em_tilsk","kroner","451528","tilskudd","0124","NULL"
"2011","NULL","barnehage_tilsk","kroner","0","tilskudd","0124","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0124","NULL"
"2011","NULL","skole_tilsk","kroner","168000","tilskudd","0124","NULL"
"2011","NULL","totalt","kroner","9071532","tilskudd","0125","NULL"
"2011","NULL","inttilsk_1_5","kroner","8503500","tilskudd","0125","NULL"
"2011","NULL","inttilsk_1","kroner","2675000","tilskudd","0125","NULL"
"2011","NULL","inttilsk_2_5","kroner","5828500","tilskudd","0125","NULL"
"2011","NULL","funkhem","kroner","0","tilskudd","0125","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0125","NULL"
"2011","NULL","em_tilsk","kroner","369432","tilskudd","0125","NULL"
"2011","NULL","barnehage_tilsk","kroner","41400","tilskudd","0125","NULL"
"2011","NULL","eldre_tilsk","kroner","0","tilskudd","0125","NULL"
"2011","NULL","skole_tilsk","kroner","157200","tilskudd","0125","NULL"
"2011","NULL","totalt","kroner","4082558","tilskudd","0127","NULL"
"2011","NULL","inttilsk_1_5","kroner","3349000","tilskudd","0127","NULL"
"2011","NULL","inttilsk_1","kroner","1080000","tilskudd","0127","NULL"
"2011","NULL","inttilsk_2_5","kroner","2269000","tilskudd","0127","NULL"
"2011","NULL","funkhem","kroner","639958","tilskudd","0127","NULL"
"2011","NULL","norsk_samf_tilsk","kroner","0","tilskudd","0127","NULL"
"2011","NULL","em_tilsk","kroner","0","tilskudd","0127","NULL"
