kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
1653;5,7;19,7;31,6;26,1;4,8
1657;5,0;:;34,8;22,4;4,6
1662;4,4;21,9;20,9;21,5;3,7
1663;4,4;17,1;21,3;18,6;3,6
1664;6,8;37,0;:;31,0;6,0
1665;5,3;:;:;:;5,2
1702;7,5;31,9;44,2;39,0;6,2
1703;6,4;9,2;45,5;32,3;5,1
1711;10,7;:;49,4;33,8;9,1
1714;6,0;14,6;35,6;28,4;4,9
1717;8,1;49,4;:;40,8;6,7
1718;6,5;:;:;:;6,5
1719;7,2;18,9;40,8;30,7;6,1
1721;7,6;17,8;51,8;40,6;6,4
1724;10,8;19,5;59,4;24,8;9,2
1725;8,4;:;:;:;8,0
1736;7,6;:;:;:;7,4
1738;9,9;:;:;:;9,7
1739;5,9;:;:;:;5,4
1740;7,0;:;:;:;6,7
1742;7,8;20,9;64,1;46,7;5,7
1743;5,2;:;:;:;5,1
1744;6,2;26,7;65,4;36,6;5,2
1748;12,5;:;:;:;11,8
1749;7,9;:;:;37,5;6,6
1750;5,4;18,2;:;16,6;4,8
1751;7,9;32,2;32,1;32,2;7,0
1755;11,5;:;:;:;11,8
1756;5,8;23,1;39,3;28,6;5,1
1804;5,1;14,0;25,1;20,8;4,3
1805;5,9;13,5;34,1;25,0;4,6
1811;11,5;:;:;:;11,5
1812;7,9;37,5;:;27,3;7,3
1813;7,0;23,0;39,6;32,9;5,8
1815;9,6;:;:;:;9,6
1816;8,6;:;:;:;7,6
1818;9,7;22,8;:;21,8;9,0
1820;7,0;18,0;42,3;33,8;5,3
1822;10,1;:;54,1;43,5;8,0
1824;6,0;14,3;29,3;23,7;5,3
1825;5,6;:;:;:;5,3
1826;8,7;34,2;:;35,9;7,3
1827;9,9;46,4;:;43,9;8,8
1828;13,1;14,5;75,6;48,4;9,6
1832;7,5;31,5;37,8;34,5;6,3
1833;5,0;9,4;26,8;19,2;4,5
1834;9,5;27,5;:;21,4;9,1
1835;11,3;:;:;:;10,6
1836;9,4;:;:;:;8,8
1837;6,0;22,8;13,9;18,1;5,5
1838;7,4;20,6;29,7;24,0;6,4
1839;7,1;:;:;:;6,7
1840;6,9;23,3;25,0;24,2;6,1
1841;6,1;11,7;32,2;23,2;5,4
1845;8,3;:;:;:;8,0
1848;11,1;34,9;48,8;39,4;9,5
1849;10,0;28,2;39,0;32,1;8,3
1850;8,1;:;:;:;8,0
1851;7,6;19,2;35,0;27,7;6,4
1852;5,9;:;:;:;5,8
1853;8,1;:;:;:;7,6
1854;8,1;:;49,2;38,2;6,8
1856;9,1;:;:;:;9,2
1857;10,7;:;:;:;9,7
1859;7,0;:;:;:;6,9
1860;8,1;19,3;36,2;29,3;7,1
1865;7,7;16,8;29,2;23,2;6,6
1866;8,2;18,4;32,1;28,4;6,8
1867;14,0;25,0;41,1;33,7;13,1
1868;9,3;29,1;32,4;30,3;8,2
1870;7,3;24,6;37,8;33,5;6,1
1871;7,8;10,6;51,4;30,8;6,6
1874;11,7;25,7;:;24,4;10,5
1902;6,8;17,9;28,2;22,9;5,5
1901;6,4;11,0;39,7;29,4;5,0
1911;8,0;26,9;50,8;43,6;5,6
1913;6,1;:;27,8;14,6;5,6
1917;10,7;:;:;26,4;10,0
1919;9,5;:;:;20,5;8,7
1920;7,1;:;:;:;7,1
1922;5,2;20,8;15,8;18,3;4,6
1923;6,8;:;35,4;32,4;5,8
1924;4,9;14,4;20,3;16,7;4,6
1925;4,9;13,3;:;14,8;4,5
1926;9,5;:;:;:;9,3
1927;9,9;:;36,1;24,6;9,2
1928;11,5;35,5;:;31,6;10,5
1929;8,6;:;65,2;46,3;5,9
1931;7,2;19,3;46,7;36,1;5,9
1933;7,8;17,1;:;13,7;7,6
1936;8,1;24,8;:;21,6;7,1
1938;7,6;35,0;:;23,2;7,1
1939;6,4;16,2;:;17,6;5,8
1940;8,3;:;:;17,2;8,0
1941;6,7;20,8;:;16,4;6,2
1942;5,8;:;25,7;20,2;5,4
1943;10,0;:;:;:;10,0
2002;10,6;22,5;36,4;28,1;9,3
2003;5,7;8,8;33,1;27,2;3,2
2004;5,0;12,5;24,0;19,0;3,4
2011;14,3;11,8;:;13,3;14,3
2012;4,8;9,9;19,0;14,9;4,2
2014;7,5;:;:;:;7,2
2015;6,3;:;:;:;6,1
2017;8,4;:;:;:;7,9
2018;9,4;27,3;:;21,1;8,3
2019;7,7;21,2;22,4;21,7;6,4
2020;6,4;:;17,2;14,2;6,0
2021;9,7;12,4;:;12,3;9,5
2022;9,8;:;:;:;9,8
2023;7,5;17,2;:;15,7;6,5
2024;7,2;:;:;:;7,0
2025;7,7;14,4;:;13,0;7,3
2027;8,9;:;:;:;8,9
2028;7,3;12,0;11,0;11,6;6,6
2030;4,5;16,9;12,7;14,3;3,5
