kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
1504;;90;90;150;150;;175;.;;;100;100;100;100;;100;.;
1505;;50;60;80;55;;95;.;;;100;120;100;68,75;;100;.;
1511;;15;11;20;20;;20;20;;;100;73,33333333;100;100;;100;100;
1514;;10;10;14;0;;15;.;;;100;100;100;0;;100;.;
1515;;30;20;40;20;;42;.;;;100;66,66666667;100;50;;100;.;
1516;;20;32;32;32;;38;38;;;100;160;100;100;;100;100;
1517;;15;13;20;20;;22;.;;;100;86,66666667;100;100;;100;.;
1519;;30;40;40;25;;45;.;;;100;133,3333333;100;62,5;;100;.;
1520;;30;15;40;28;;45;29;;;100;50;100;70;;100;64,44444444;
1523;;10;5;14;5;;15;5;;;100;50;100;35,71428571;;100;33,33333333;
1524;;10;5;10;5;;10;.;;;100;50;100;50;;100;.;
1525;;17;0;17;17;;20;.;;;100;0;100;100;;100;.;
1526;;10;0;10;10;;10;.;;;100;0;100;100;;100;.;
1528;;20;10;27;20;;32;.;;;100;50;100;74,07407407;;100;.;
1529;;10;5;17;.;;18;.;;;100;50;100;.;;100;.;
1531;;25;12;35;.;;40;.;;;100;48;100;.;;100;.;
1532;;15;20;25;25;;35;25;;;100;133,3333333;100;100;;100;71,42857143;
1534;;30;22;40;15;;42;.;;;100;73,33333333;100;37,5;;100;.;
1535;;15;10;20;10;;27;21;;;100;66,66666667;100;50;;100;77,77777778;
1539;;15;10;25;25;;30;30;;;100;66,66666667;100;100;;100;100;
1543;;10;10;17;10;;18;.;;;100;100;100;58,82352941;;100;.;
1545;;10;0;14;14;;15;15;;;100;0;100;100;;100;100;
1546;;10;0;15;15;;12;15;;;100;0;100;100;;100;125;
1547;;15;24;24;24;;24;.;;;100;160;100;100;;100;.;
1548;;30;15;40;20;;40;25;;;100;50;100;50;;100;62,5;
1551;;10;.;15;.;;15;.;;;100;.;100;.;;100;.;
1554;;15;10;20;20;;25;.;;;100;66,66666667;100;100;;100;.;
1557;;15;10;15;10;;15;15;;;100;66,66666667;100;66,66666667;;100;100;
1560;;10;11;15;15;;18;.;;;100;110;100;100;;100;.;
1563;;25;40;40;33;;45;33;;;100;160;100;82,5;;100;73,33333333;
1566;;15;24;24;24;;26;26;;;100;160;100;100;;100;100;
1567;;10;10;17;10;;18;.;;;100;100;100;58,82352941;;100;.;
1571;;17;17;17;14;;18;.;;;100;100;100;82,35294118;;100;.;
1573;;10;13;17;12;;18;.;;;100;130;100;70,58823529;;100;.;
1576;;10;17;17;14;;18;.;;;100;170;100;82,35294118;;100;.;
1601;;300;450;650;650;;730;.;;;100;150;100;100;;100;.;
1612;;10;10;17;12;;18;.;;;100;100;100;70,58823529;;100;.;
1613;;10;.;10;.;;10;.;;;100;.;100;.;;100;.;
1617;;15;10;20;10;;22;.;;;100;66,66666667;100;50;;100;.;
1620;;15;10;20;15;;22;.;;;100;66,66666667;100;75;;100;.;
1621;;15;4;20;10;;25;20;;;100;26,66666667;100;50;;100;80;
1622;;10;0;10;4;;10;.;;;100;0;100;40;;100;.;
1624;;20;18;25;18;;27;20;;;100;90;100;72;;100;74,07407407;
1627;;15;10;20;14;;23;.;;;100;66,66666667;100;70;;100;.;
1630;;10;12;17;14;;18;12;;;100;120;100;82,35294118;;100;66,66666667;
1632;;10;0;10;.;;10;.;;;100;0;100;.;;100;.;
1633;;10;10;10;10;;10;.;;;100;100;100;100;;100;.;
1634;;20;32;27;27;;30;30;;;100;160;100;100;;100;100;
1635;;10;17;17;17;;18;.;;;100;170;100;100;;100;.;
1636;;10;13;17;0;;18;14;;;100;130;100;0;;100;77,77777778;
1638;;30;40;48;40;;50;.;;;100;133,3333333;100;83,33333333;;100;.;
1640;;15;15;20;21;;25;.;;;100;100;100;105;;100;.;
1644;;10;14;14;10;;15;.;;;100;140;100;71,42857143;;100;.;
1648;;15;15;25;25;;25;25;;;100;100;100;100;;100;100;
1653;;35;51;56;56;;65;.;;;100;145,7142857;100;100;;100;.;
1657;;20;11;32;6;;35;.;;;100;55;100;18,75;;100;.;
1662;;15;18;25;25;;30;.;;;100;120;100;100;;100;.;
1663;;30;48;48;40;;55;.;;;100;160;100;83,33333333;;100;.;
