"tabell_navn","aar","kommune_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","0230","nord_amerika_oseania","person","50"
"befolkning_verdensregion_9","2015","0230","asia","person","2897"
"befolkning_verdensregion_9","2015","0230","afrika","person","528"
"befolkning_verdensregion_9","2015","0230","sor_og_mellom_amerika","person","96"
"befolkning_verdensregion_9","2015","0230","alle","person","6413"
"befolkning_verdensregion_9","2015","0231","norden","person","784"
"befolkning_verdensregion_9","2015","0231","vest_europa","person","604"
"befolkning_verdensregion_9","2015","0231","eu_ost_europa","person","1809"
"befolkning_verdensregion_9","2015","0231","ost_europa_ellers","person","622"
"befolkning_verdensregion_9","2015","0231","nord_amerika_oseania","person","84"
"befolkning_verdensregion_9","2015","0231","asia","person","4475"
"befolkning_verdensregion_9","2015","0231","afrika","person","701"
"befolkning_verdensregion_9","2015","0231","sor_og_mellom_amerika","person","176"
"befolkning_verdensregion_9","2015","0231","alle","person","9255"
"befolkning_verdensregion_9","2015","0233","norden","person","405"
"befolkning_verdensregion_9","2015","0233","vest_europa","person","286"
"befolkning_verdensregion_9","2015","0233","eu_ost_europa","person","776"
"befolkning_verdensregion_9","2015","0233","ost_europa_ellers","person","135"
"befolkning_verdensregion_9","2015","0233","nord_amerika_oseania","person","41"
"befolkning_verdensregion_9","2015","0233","asia","person","838"
"befolkning_verdensregion_9","2015","0233","afrika","person","143"
"befolkning_verdensregion_9","2015","0233","sor_og_mellom_amerika","person","65"
"befolkning_verdensregion_9","2015","0233","alle","person","2689"
"befolkning_verdensregion_9","2015","0234","norden","person","122"
"befolkning_verdensregion_9","2015","0234","vest_europa","person","60"
"befolkning_verdensregion_9","2015","0234","eu_ost_europa","person","370"
"befolkning_verdensregion_9","2015","0234","ost_europa_ellers","person","34"
"befolkning_verdensregion_9","2015","0234","nord_amerika_oseania","person","10"
"befolkning_verdensregion_9","2015","0234","asia","person","112"
"befolkning_verdensregion_9","2015","0234","afrika","person","30"
"befolkning_verdensregion_9","2015","0234","sor_og_mellom_amerika","person","13"
"befolkning_verdensregion_9","2015","0234","alle","person","751"
"befolkning_verdensregion_9","2015","0235","norden","person","792"
"befolkning_verdensregion_9","2015","0235","vest_europa","person","362"
"befolkning_verdensregion_9","2015","0235","eu_ost_europa","person","1519"
"befolkning_verdensregion_9","2015","0235","ost_europa_ellers","person","515"
"befolkning_verdensregion_9","2015","0235","nord_amerika_oseania","person","50"
"befolkning_verdensregion_9","2015","0235","asia","person","1803"
"befolkning_verdensregion_9","2015","0235","afrika","person","258"
"befolkning_verdensregion_9","2015","0235","sor_og_mellom_amerika","person","147"
"befolkning_verdensregion_9","2015","0235","alle","person","5446"
"befolkning_verdensregion_9","2015","0236","norden","person","255"
"befolkning_verdensregion_9","2015","0236","vest_europa","person","209"
"befolkning_verdensregion_9","2015","0236","eu_ost_europa","person","681"
"befolkning_verdensregion_9","2015","0236","ost_europa_ellers","person","189"
"befolkning_verdensregion_9","2015","0236","nord_amerika_oseania","person","24"
"befolkning_verdensregion_9","2015","0236","asia","person","425"
"befolkning_verdensregion_9","2015","0236","afrika","person","148"
"befolkning_verdensregion_9","2015","0236","sor_og_mellom_amerika","person","35"
"befolkning_verdensregion_9","2015","0236","alle","person","1966"
"befolkning_verdensregion_9","2015","0237","norden","person","335"
"befolkning_verdensregion_9","2015","0237","vest_europa","person","190"
"befolkning_verdensregion_9","2015","0237","eu_ost_europa","person","834"
"befolkning_verdensregion_9","2015","0237","ost_europa_ellers","person","188"
"befolkning_verdensregion_9","2015","0237","nord_amerika_oseania","person","40"
"befolkning_verdensregion_9","2015","0237","asia","person","628"
"befolkning_verdensregion_9","2015","0237","afrika","person","180"
"befolkning_verdensregion_9","2015","0237","sor_og_mellom_amerika","person","105"
"befolkning_verdensregion_9","2015","0237","alle","person","2500"
"befolkning_verdensregion_9","2015","0238","norden","person","211"
"befolkning_verdensregion_9","2015","0238","vest_europa","person","124"
"befolkning_verdensregion_9","2015","0238","eu_ost_europa","person","694"
"befolkning_verdensregion_9","2015","0238","ost_europa_ellers","person","86"
"befolkning_verdensregion_9","2015","0238","nord_amerika_oseania","person","15"
"befolkning_verdensregion_9","2015","0238","asia","person","431"
"befolkning_verdensregion_9","2015","0238","afrika","person","99"
"befolkning_verdensregion_9","2015","0238","sor_og_mellom_amerika","person","38"
"befolkning_verdensregion_9","2015","0238","alle","person","1698"
"befolkning_verdensregion_9","2015","0239","norden","person","43"
"befolkning_verdensregion_9","2015","0239","vest_europa","person","43"
"befolkning_verdensregion_9","2015","0239","eu_ost_europa","person","60"
"befolkning_verdensregion_9","2015","0239","ost_europa_ellers","person","14"
"befolkning_verdensregion_9","2015","0239","nord_amerika_oseania","person","3"
"befolkning_verdensregion_9","2015","0239","asia","person","32"
"befolkning_verdensregion_9","2015","0239","afrika","person","14"
"befolkning_verdensregion_9","2015","0239","sor_og_mellom_amerika","person","20"
"befolkning_verdensregion_9","2015","0239","alle","person","229"
"befolkning_verdensregion_9","2015","0301","norden","person","18771"
"befolkning_verdensregion_9","2015","0301","vest_europa","person","14418"
"befolkning_verdensregion_9","2015","0301","eu_ost_europa","person","25091"
"befolkning_verdensregion_9","2015","0301","ost_europa_ellers","person","11710"
"befolkning_verdensregion_9","2015","0301","nord_amerika_oseania","person","2849"
"befolkning_verdensregion_9","2015","0301","asia","person","56538"
"befolkning_verdensregion_9","2015","0301","afrika","person","23664"
"befolkning_verdensregion_9","2015","0301","sor_og_mellom_amerika","person","5755"
"befolkning_verdensregion_9","2015","0301","alle","person","158796"
"befolkning_verdensregion_9","2015","0402","norden","person","278"
"befolkning_verdensregion_9","2015","0402","vest_europa","person","103"
"befolkning_verdensregion_9","2015","0402","eu_ost_europa","person","296"
"befolkning_verdensregion_9","2015","0402","ost_europa_ellers","person","199"
"befolkning_verdensregion_9","2015","0402","nord_amerika_oseania","person","17"
"befolkning_verdensregion_9","2015","0402","asia","person","582"
"befolkning_verdensregion_9","2015","0402","afrika","person","245"
"befolkning_verdensregion_9","2015","0402","sor_og_mellom_amerika","person","56"
"befolkning_verdensregion_9","2015","0402","alle","person","1776"
"befolkning_verdensregion_9","2015","0403","norden","person","373"
"befolkning_verdensregion_9","2015","0403","vest_europa","person","220"
"befolkning_verdensregion_9","2015","0403","eu_ost_europa","person","567"
"befolkning_verdensregion_9","2015","0403","ost_europa_ellers","person","297"
"befolkning_verdensregion_9","2015","0403","nord_amerika_oseania","person","41"
"befolkning_verdensregion_9","2015","0403","asia","person","859"
"befolkning_verdensregion_9","2015","0403","afrika","person","550"
"befolkning_verdensregion_9","2015","0403","sor_og_mellom_amerika","person","67"
