"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"58","anmodning","prosent","2015","100","bosatt_anmodede"
"59","anmodning","prosent","2015","100","bosatt_anmodede"
"60","anmodning","prosent","2015","100","bosatt_anmodede"
"61","anmodning","prosent","2015","100","bosatt_anmodede"
"62","anmodning","prosent","2015","100","bosatt_anmodede"
"63","anmodning","prosent","2015","100","bosatt_anmodede"
"64","anmodning","prosent","2015","100","bosatt_anmodede"
"65","anmodning","prosent","2015","100","bosatt_anmodede"
"66","anmodning","prosent","2015","100","bosatt_anmodede"
"67","anmodning","prosent","2015","100","bosatt_anmodede"
"68","anmodning","prosent","2015","100","bosatt_anmodede"
"69","anmodning","prosent","2015","100","bosatt_anmodede"
"70","anmodning","prosent","2015","100","bosatt_anmodede"
"71","anmodning","prosent","2015","100","bosatt_anmodede"
"72","anmodning","prosent","2015","100","bosatt_anmodede"
"73","anmodning","prosent","2015","100","bosatt_anmodede"
"74","anmodning","prosent","2015","100","bosatt_anmodede"
"75","anmodning","prosent","2015","100","bosatt_anmodede"
"76","anmodning","prosent","2015","100","bosatt_anmodede"
"77","anmodning","prosent","2015","100","bosatt_anmodede"
"78","anmodning","prosent","2015","100","bosatt_anmodede"
"79","anmodning","prosent","2015","100","bosatt_anmodede"
"80","anmodning","prosent","2015","100","bosatt_anmodede"
"81","anmodning","prosent","2015","100","bosatt_anmodede"
"82","anmodning","prosent","2015","100","bosatt_anmodede"
"83","anmodning","prosent","2015","100","bosatt_anmodede"
"99","anmodning","prosent","2015",".","bosatt_anmodede"
"01","vedtak","prosent","2015","160","bosatt_anmodede"
"02","vedtak","prosent","2015","62.7586206896552","bosatt_anmodede"
"03","vedtak","prosent","2015","94.4444444444444","bosatt_anmodede"
"04","vedtak","prosent","2015","111.764705882353","bosatt_anmodede"
"05","vedtak","prosent","2015","113.877551020408","bosatt_anmodede"
"06","vedtak","prosent","2015","133.689839572193","bosatt_anmodede"
"07","vedtak","prosent","2015","124.545454545455","bosatt_anmodede"
"08","vedtak","prosent","2015","85.6","bosatt_anmodede"
"09","vedtak","prosent","2015","112.638888888889","bosatt_anmodede"
"10","vedtak","prosent","2015","107.5","bosatt_anmodede"
"11","vedtak","prosent","2015","66.3636363636364","bosatt_anmodede"
"12","vedtak","prosent","2015","80","bosatt_anmodede"
"13","vedtak","prosent","2015","94.7368421052632","bosatt_anmodede"
"14","vedtak","prosent","2015","126.923076923077","bosatt_anmodede"
"15","vedtak","prosent","2015","104.705882352941","bosatt_anmodede"
"16","vedtak","prosent","2015","109.411764705882","bosatt_anmodede"
"17","vedtak","prosent","2015","137.5","bosatt_anmodede"
"18","vedtak","prosent","2015","105.970149253731","bosatt_anmodede"
"19","vedtak","prosent","2015","112.307692307692","bosatt_anmodede"
"20","vedtak","prosent","2015","112.753623188406","bosatt_anmodede"
"21","vedtak","prosent","2015","103.333333333333","bosatt_anmodede"
"22","vedtak","prosent","2015","100","bosatt_anmodede"
"23","vedtak","prosent","2015","157.777777777778","bosatt_anmodede"
"24","vedtak","prosent","2015","135","bosatt_anmodede"
"25","vedtak","prosent","2015","140.336134453782","bosatt_anmodede"
"26","vedtak","prosent","2015","144","bosatt_anmodede"
"27","vedtak","prosent","2015","79.7014925373134","bosatt_anmodede"
"28","vedtak","prosent","2015","101.298701298701","bosatt_anmodede"
"29","vedtak","prosent","2015","122.666666666667","bosatt_anmodede"
"30","vedtak","prosent","2015","96.9230769230769","bosatt_anmodede"
"31","vedtak","prosent","2015","90","bosatt_anmodede"
"32","vedtak","prosent","2015","106.909090909091","bosatt_anmodede"
"33","vedtak","prosent","2015","128.823529411765","bosatt_anmodede"
