"tabell_navn","aar","naringsregion_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","51","2","personer","10+","417"
"befolkning_botid","2015","51","alle","personer","10+","738"
"befolkning_botid","2015","52","1","personer","10+","542"
"befolkning_botid","2015","52","2","personer","10+","635"
"befolkning_botid","2015","52","alle","personer","10+","1177"
"befolkning_botid","2015","53","1","personer","10+","602"
"befolkning_botid","2015","53","2","personer","10+","664"
"befolkning_botid","2015","53","alle","personer","10+","1266"
"befolkning_botid","2015","54","1","personer","10+","270"
"befolkning_botid","2015","54","2","personer","10+","246"
"befolkning_botid","2015","54","alle","personer","10+","516"
"befolkning_botid","2015","55","1","personer","10+","399"
"befolkning_botid","2015","55","2","personer","10+","658"
"befolkning_botid","2015","55","alle","personer","10+","1057"
"befolkning_botid","2015","56","1","personer","10+","924"
"befolkning_botid","2015","56","2","personer","10+","1197"
"befolkning_botid","2015","56","alle","personer","10+","2121"
"befolkning_botid","2015","57","1","personer","10+","177"
"befolkning_botid","2015","57","2","personer","10+","113"
"befolkning_botid","2015","57","alle","personer","10+","290"
"befolkning_botid","2015","58","1","personer","10+","91"
"befolkning_botid","2015","58","2","personer","10+","72"
"befolkning_botid","2015","58","alle","personer","10+","163"
"befolkning_botid","2015","59","1","personer","10+","64"
"befolkning_botid","2015","59","2","personer","10+","67"
"befolkning_botid","2015","59","alle","personer","10+","131"
"befolkning_botid","2015","60","1","personer","10+","190"
"befolkning_botid","2015","60","2","personer","10+","213"
"befolkning_botid","2015","60","alle","personer","10+","403"
"befolkning_botid","2015","61","1","personer","10+","2848"
"befolkning_botid","2015","61","2","personer","10+","5496"
"befolkning_botid","2015","61","alle","personer","10+","8344"
"befolkning_botid","2015","62","1","personer","10+","111"
"befolkning_botid","2015","62","2","personer","10+","73"
"befolkning_botid","2015","62","alle","personer","10+","184"
"befolkning_botid","2015","63","1","personer","10+","240"
"befolkning_botid","2015","63","2","personer","10+","347"
"befolkning_botid","2015","63","alle","personer","10+","587"
"befolkning_botid","2015","64","1","personer","10+","465"
"befolkning_botid","2015","64","2","personer","10+","596"
"befolkning_botid","2015","64","alle","personer","10+","1061"
"befolkning_botid","2015","65","1","personer","10+","111"
"befolkning_botid","2015","65","2","personer","10+","41"
"befolkning_botid","2015","65","alle","personer","10+","152"
"befolkning_botid","2015","66","1","personer","10+","67"
"befolkning_botid","2015","66","2","personer","10+","53"
"befolkning_botid","2015","66","alle","personer","10+","120"
"befolkning_botid","2015","67","1","personer","10+","168"
"befolkning_botid","2015","67","2","personer","10+","167"
"befolkning_botid","2015","67","alle","personer","10+","335"
"befolkning_botid","2015","68","1","personer","10+","95"
"befolkning_botid","2015","68","2","personer","10+","90"
"befolkning_botid","2015","68","alle","personer","10+","185"
"befolkning_botid","2015","69","1","personer","10+","106"
"befolkning_botid","2015","69","2","personer","10+","143"
"befolkning_botid","2015","69","alle","personer","10+","249"
"befolkning_botid","2015","70","1","personer","10+","25"
"befolkning_botid","2015","70","2","personer","10+","14"
"befolkning_botid","2015","70","alle","personer","10+","39"
"befolkning_botid","2015","71","1","personer","10+","124"
"befolkning_botid","2015","71","2","personer","10+","144"
"befolkning_botid","2015","71","alle","personer","10+","268"
"befolkning_botid","2015","72","1","personer","10+","274"
"befolkning_botid","2015","72","2","personer","10+","247"
"befolkning_botid","2015","72","alle","personer","10+","521"
"befolkning_botid","2015","73","1","personer","10+","752"
"befolkning_botid","2015","73","2","personer","10+","895"
"befolkning_botid","2015","73","alle","personer","10+","1647"
"befolkning_botid","2015","74","1","personer","10+","320"
"befolkning_botid","2015","74","2","personer","10+","275"
"befolkning_botid","2015","74","alle","personer","10+","595"
"befolkning_botid","2015","75","1","personer","10+","268"
"befolkning_botid","2015","75","2","personer","10+","202"
"befolkning_botid","2015","75","alle","personer","10+","470"
"befolkning_botid","2015","76","1","personer","10+","280"
"befolkning_botid","2015","76","2","personer","10+","352"
"befolkning_botid","2015","76","alle","personer","10+","632"
"befolkning_botid","2015","77","1","personer","10+","339"
"befolkning_botid","2015","77","2","personer","10+","382"
"befolkning_botid","2015","77","alle","personer","10+","721"
"befolkning_botid","2015","78","1","personer","10+","265"
"befolkning_botid","2015","78","2","personer","10+","204"
"befolkning_botid","2015","78","alle","personer","10+","469"
"befolkning_botid","2015","79","1","personer","10+","1285"
"befolkning_botid","2015","79","2","personer","10+","1259"
"befolkning_botid","2015","79","alle","personer","10+","2544"
"befolkning_botid","2015","80","1","personer","10+","162"
"befolkning_botid","2015","80","2","personer","10+","90"
"befolkning_botid","2015","80","alle","personer","10+","252"
"befolkning_botid","2015","81","1","personer","10+","456"
"befolkning_botid","2015","81","2","personer","10+","486"
"befolkning_botid","2015","81","alle","personer","10+","942"
"befolkning_botid","2015","82","1","personer","10+","316"
"befolkning_botid","2015","82","2","personer","10+","130"
"befolkning_botid","2015","82","alle","personer","10+","446"
"befolkning_botid","2015","83","1","personer","10+","502"
"befolkning_botid","2015","83","2","personer","10+","592"
"befolkning_botid","2015","83","alle","personer","10+","1094"
"befolkning_botid","2015","01","1","personer","5_9","273"
"befolkning_botid","2015","01","2","personer","5_9","314"
"befolkning_botid","2015","01","alle","personer","5_9","587"
"befolkning_botid","2015","02","1","personer","5_9","1090"
"befolkning_botid","2015","02","2","personer","5_9","738"
"befolkning_botid","2015","02","alle","personer","5_9","1828"
"befolkning_botid","2015","03","1","personer","5_9","1019"
"befolkning_botid","2015","03","2","personer","5_9","681"
"befolkning_botid","2015","03","alle","personer","5_9","1700"
"befolkning_botid","2015","04","1","personer","5_9","1708"
"befolkning_botid","2015","04","2","personer","5_9","2127"
"befolkning_botid","2015","04","alle","personer","5_9","3835"
"befolkning_botid","2015","05","1","personer","5_9","3839"
"befolkning_botid","2015","05","2","personer","5_9","2673"
"befolkning_botid","2015","05","alle","personer","5_9","6512"
"befolkning_botid","2015","06","1","personer","5_9","2013"
"befolkning_botid","2015","06","2","personer","5_9","1538"
"befolkning_botid","2015","06","alle","personer","5_9","3551"
"befolkning_botid","2015","07","1","personer","5_9","3020"
"befolkning_botid","2015","07","2","personer","5_9","2551"
"befolkning_botid","2015","07","alle","personer","5_9","5571"
"befolkning_botid","2015","08","1","personer","5_9","1825"
"befolkning_botid","2015","08","2","personer","5_9","1096"
"befolkning_botid","2015","08","alle","personer","5_9","2921"
"befolkning_botid","2015","09","1","personer","5_9","13614"
"befolkning_botid","2015","09","2","personer","5_9","15608"
