"tabell_navn","aar","kommune_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","0616","1","personer","0_4","78"
"befolkning_botid","2015","0616","2","personer","0_4","99"
"befolkning_botid","2015","0616","alle","personer","0_4","177"
"befolkning_botid","2015","0617","1","personer","0_4","172"
"befolkning_botid","2015","0617","2","personer","0_4","111"
"befolkning_botid","2015","0617","alle","personer","0_4","283"
"befolkning_botid","2015","0618","1","personer","0_4","180"
"befolkning_botid","2015","0618","2","personer","0_4","66"
"befolkning_botid","2015","0618","alle","personer","0_4","246"
"befolkning_botid","2015","0619","1","personer","0_4","102"
"befolkning_botid","2015","0619","2","personer","0_4","69"
"befolkning_botid","2015","0619","alle","personer","0_4","171"
"befolkning_botid","2015","0620","1","personer","0_4","253"
"befolkning_botid","2015","0620","2","personer","0_4","53"
"befolkning_botid","2015","0620","alle","personer","0_4","306"
"befolkning_botid","2015","0621","1","personer","0_4","69"
"befolkning_botid","2015","0621","2","personer","0_4","26"
"befolkning_botid","2015","0621","alle","personer","0_4","95"
"befolkning_botid","2015","0622","1","personer","0_4","124"
"befolkning_botid","2015","0622","2","personer","0_4","14"
"befolkning_botid","2015","0622","alle","personer","0_4","138"
"befolkning_botid","2015","0623","1","personer","0_4","245"
"befolkning_botid","2015","0623","2","personer","0_4","169"
"befolkning_botid","2015","0623","alle","personer","0_4","414"
"befolkning_botid","2015","0624","1","personer","0_4","632"
"befolkning_botid","2015","0624","2","personer","0_4","194"
"befolkning_botid","2015","0624","alle","personer","0_4","826"
"befolkning_botid","2015","0625","1","personer","0_4","688"
"befolkning_botid","2015","0625","2","personer","0_4","314"
"befolkning_botid","2015","0625","alle","personer","0_4","1002"
"befolkning_botid","2015","0626","1","personer","0_4","967"
"befolkning_botid","2015","0626","2","personer","0_4","376"
"befolkning_botid","2015","0626","alle","personer","0_4","1343"
"befolkning_botid","2015","0627","1","personer","0_4","645"
"befolkning_botid","2015","0627","2","personer","0_4","275"
"befolkning_botid","2015","0627","alle","personer","0_4","920"
"befolkning_botid","2015","0628","1","personer","0_4","251"
"befolkning_botid","2015","0628","2","personer","0_4","146"
"befolkning_botid","2015","0628","alle","personer","0_4","397"
"befolkning_botid","2015","0631","1","personer","0_4","75"
"befolkning_botid","2015","0631","2","personer","0_4","71"
"befolkning_botid","2015","0631","alle","personer","0_4","146"
"befolkning_botid","2015","0632","1","personer","0_4","15"
"befolkning_botid","2015","0632","2","personer","0_4","30"
"befolkning_botid","2015","0632","alle","personer","0_4","45"
"befolkning_botid","2015","0633","1","personer","0_4","71"
"befolkning_botid","2015","0633","2","personer","0_4","56"
"befolkning_botid","2015","0633","alle","personer","0_4","127"
"befolkning_botid","2015","0701","1","personer","0_4","573"
"befolkning_botid","2015","0701","2","personer","0_4","468"
"befolkning_botid","2015","0701","alle","personer","0_4","1041"
"befolkning_botid","2015","0702","1","personer","0_4","236"
"befolkning_botid","2015","0702","2","personer","0_4","114"
"befolkning_botid","2015","0702","alle","personer","0_4","350"
"befolkning_botid","2015","0704","1","personer","0_4","1087"
"befolkning_botid","2015","0704","2","personer","0_4","598"
"befolkning_botid","2015","0704","alle","personer","0_4","1685"
"befolkning_botid","2015","0706","1","personer","0_4","1213"
"befolkning_botid","2015","0706","2","personer","0_4","591"
"befolkning_botid","2015","0706","alle","personer","0_4","1804"
"befolkning_botid","2015","0709","1","personer","0_4","871"
"befolkning_botid","2015","0709","2","personer","0_4","528"
"befolkning_botid","2015","0709","alle","personer","0_4","1399"
"befolkning_botid","2015","0711","1","personer","0_4","193"
"befolkning_botid","2015","0711","2","personer","0_4","41"
"befolkning_botid","2015","0711","alle","personer","0_4","234"
"befolkning_botid","2015","0713","1","personer","0_4","287"
"befolkning_botid","2015","0713","2","personer","0_4","98"
"befolkning_botid","2015","0713","alle","personer","0_4","385"
"befolkning_botid","2015","0714","1","personer","0_4","85"
"befolkning_botid","2015","0714","2","personer","0_4","14"
"befolkning_botid","2015","0714","alle","personer","0_4","99"
"befolkning_botid","2015","0716","1","personer","0_4","227"
"befolkning_botid","2015","0716","2","personer","0_4","97"
"befolkning_botid","2015","0716","alle","personer","0_4","324"
"befolkning_botid","2015","0719","1","personer","0_4","206"
"befolkning_botid","2015","0719","2","personer","0_4","71"
"befolkning_botid","2015","0719","alle","personer","0_4","277"
"befolkning_botid","2015","0720","1","personer","0_4","347"
"befolkning_botid","2015","0720","2","personer","0_4","191"
"befolkning_botid","2015","0720","alle","personer","0_4","538"
"befolkning_botid","2015","0722","1","personer","0_4","411"
"befolkning_botid","2015","0722","2","personer","0_4","221"
"befolkning_botid","2015","0722","alle","personer","0_4","632"
"befolkning_botid","2015","0723","1","personer","0_4","138"
"befolkning_botid","2015","0723","2","personer","0_4","72"
"befolkning_botid","2015","0723","alle","personer","0_4","210"
"befolkning_botid","2015","0728","1","personer","0_4","51"
"befolkning_botid","2015","0728","2","personer","0_4","24"
"befolkning_botid","2015","0728","alle","personer","0_4","75"
"befolkning_botid","2015","0805","1","personer","0_4","540"
"befolkning_botid","2015","0805","2","personer","0_4","596"
"befolkning_botid","2015","0805","alle","personer","0_4","1136"
"befolkning_botid","2015","0806","1","personer","0_4","835"
"befolkning_botid","2015","0806","2","personer","0_4","954"
"befolkning_botid","2015","0806","alle","personer","0_4","1789"
"befolkning_botid","2015","0807","1","personer","0_4","228"
"befolkning_botid","2015","0807","2","personer","0_4","274"
"befolkning_botid","2015","0807","alle","personer","0_4","502"
"befolkning_botid","2015","0811","1","personer","0_4","11"
"befolkning_botid","2015","0811","2","personer","0_4","54"
"befolkning_botid","2015","0811","alle","personer","0_4","65"
"befolkning_botid","2015","0814","1","personer","0_4","153"
"befolkning_botid","2015","0814","2","personer","0_4","264"
"befolkning_botid","2015","0814","alle","personer","0_4","417"
"befolkning_botid","2015","0815","1","personer","0_4","173"
"befolkning_botid","2015","0815","2","personer","0_4","220"
"befolkning_botid","2015","0815","alle","personer","0_4","393"
"befolkning_botid","2015","0817","1","personer","0_4","66"
"befolkning_botid","2015","0817","2","personer","0_4","58"
"befolkning_botid","2015","0817","alle","personer","0_4","124"
"befolkning_botid","2015","0819","1","personer","0_4","157"
"befolkning_botid","2015","0819","2","personer","0_4","140"
"befolkning_botid","2015","0819","alle","personer","0_4","297"
"befolkning_botid","2015","0821","1","personer","0_4","211"
"befolkning_botid","2015","0821","2","personer","0_4","109"
"befolkning_botid","2015","0821","alle","personer","0_4","320"
"befolkning_botid","2015","0822","1","personer","0_4","115"
"befolkning_botid","2015","0822","2","personer","0_4","102"
"befolkning_botid","2015","0822","alle","personer","0_4","217"
