"naringsregion_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"35","anmodning","2016","personer","535","bosatt_anmodede"
"36","anmodning","2016","personer","120","bosatt_anmodede"
"37","anmodning","2016","personer","354","bosatt_anmodede"
"38","anmodning","2016","personer","145","bosatt_anmodede"
"39","anmodning","2016","personer","922","bosatt_anmodede"
"40","anmodning","2016","personer","720","bosatt_anmodede"
"41","anmodning","2016","personer","120","bosatt_anmodede"
"42","anmodning","2016","personer","175","bosatt_anmodede"
"43","anmodning","2016","personer","60","bosatt_anmodede"
"44","anmodning","2016","personer","158","bosatt_anmodede"
"45","anmodning","2016","personer","65","bosatt_anmodede"
"46","anmodning","2016","personer","269","bosatt_anmodede"
"47","anmodning","2016","personer","225","bosatt_anmodede"
"48","anmodning","2016","personer","95","bosatt_anmodede"
"49","anmodning","2016","personer","205","bosatt_anmodede"
"50","anmodning","2016","personer","205","bosatt_anmodede"
"51","anmodning","2016","personer","180","bosatt_anmodede"
"52","anmodning","2016","personer","277","bosatt_anmodede"
"53","anmodning","2016","personer","235","bosatt_anmodede"
"54","anmodning","2016","personer","78","bosatt_anmodede"
"55","anmodning","2016","personer","206","bosatt_anmodede"
"56","anmodning","2016","personer","282","bosatt_anmodede"
"57","anmodning","2016","personer","119","bosatt_anmodede"
"58","anmodning","2016","personer","40","bosatt_anmodede"
"59","anmodning","2016","personer","44","bosatt_anmodede"
"60","anmodning","2016","personer","102","bosatt_anmodede"
"61","anmodning","2016","personer","856","bosatt_anmodede"
"62","anmodning","2016","personer","49","bosatt_anmodede"
"63","anmodning","2016","personer","114","bosatt_anmodede"
"64","anmodning","2016","personer","251","bosatt_anmodede"
"65","anmodning","2016","personer","84","bosatt_anmodede"
"66","anmodning","2016","personer","86","bosatt_anmodede"
"67","anmodning","2016","personer","104","bosatt_anmodede"
"68","anmodning","2016","personer","130","bosatt_anmodede"
"69","anmodning","2016","personer","140","bosatt_anmodede"
"70","anmodning","2016","personer","55","bosatt_anmodede"
"71","anmodning","2016","personer","95","bosatt_anmodede"
"72","anmodning","2016","personer","140","bosatt_anmodede"
"73","anmodning","2016","personer","380","bosatt_anmodede"
"74","anmodning","2016","personer","180","bosatt_anmodede"
"75","anmodning","2016","personer","190","bosatt_anmodede"
"76","anmodning","2016","personer","221","bosatt_anmodede"
"77","anmodning","2016","personer","210","bosatt_anmodede"
"78","anmodning","2016","personer","191","bosatt_anmodede"
"79","anmodning","2016","personer","230","bosatt_anmodede"
"80","anmodning","2016","personer","110","bosatt_anmodede"
"81","anmodning","2016","personer","247","bosatt_anmodede"
"82","anmodning","2016","personer","100","bosatt_anmodede"
"83","anmodning","2016","personer","265","bosatt_anmodede"
"99","anmodning","2016","personer","0","bosatt_anmodede"
"01","vedtak","2016","personer","57","bosatt_anmodede"
"02","vedtak","2016","personer","165","bosatt_anmodede"
"03","vedtak","2016","personer","142","bosatt_anmodede"
"04","vedtak","2016","personer","325","bosatt_anmodede"
"05","vedtak","2016","personer","415","bosatt_anmodede"
"06","vedtak","2016","personer","234","bosatt_anmodede"
"07","vedtak","2016","personer","351","bosatt_anmodede"
"08","vedtak","2016","personer","114","bosatt_anmodede"
"09","vedtak","2016","personer","1000","bosatt_anmodede"
"10","vedtak","2016","personer","99","bosatt_anmodede"
"11","vedtak","2016","personer","104","bosatt_anmodede"
"12","vedtak","2016","personer","189","bosatt_anmodede"
"13","vedtak","2016","personer","102","bosatt_anmodede"
"14","vedtak","2016","personer","193","bosatt_anmodede"
"15","vedtak","2016","personer","110","bosatt_anmodede"
"16","vedtak","2016","personer","116","bosatt_anmodede"
"17","vedtak","2016","personer","44","bosatt_anmodede"
"18","vedtak","2016","personer","80","bosatt_anmodede"
"19","vedtak","2016","personer","55","bosatt_anmodede"
"20","vedtak","2016","personer","449","bosatt_anmodede"
"21","vedtak","2016","personer","88","bosatt_anmodede"
"22","vedtak","2016","personer","71","bosatt_anmodede"
"23","vedtak","2016","personer","50","bosatt_anmodede"
"24","vedtak","2016","personer","120","bosatt_anmodede"
"25","vedtak","2016","personer","393","bosatt_anmodede"
"26","vedtak","2016","personer","230","bosatt_anmodede"
"27","vedtak","2016","personer","441","bosatt_anmodede"
"28","vedtak","2016","personer","100","bosatt_anmodede"
"29","vedtak","2016","personer","78","bosatt_anmodede"
"30","vedtak","2016","personer","78","bosatt_anmodede"
"31","vedtak","2016","personer","58","bosatt_anmodede"
"32","vedtak","2016","personer","375","bosatt_anmodede"
"33","vedtak","2016","personer","213","bosatt_anmodede"
"34","vedtak","2016","personer","145","bosatt_anmodede"
"35","vedtak","2016","personer","429","bosatt_anmodede"
"36","vedtak","2016","personer","80","bosatt_anmodede"
"37","vedtak","2016","personer","288","bosatt_anmodede"
"38","vedtak","2016","personer","104","bosatt_anmodede"
"39","vedtak","2016","personer","801","bosatt_anmodede"
"40","vedtak","2016","personer","350","bosatt_anmodede"
"41","vedtak","2016","personer","85","bosatt_anmodede"
"42","vedtak","2016","personer","113","bosatt_anmodede"
"43","vedtak","2016","personer","50","bosatt_anmodede"
"44","vedtak","2016","personer","91","bosatt_anmodede"
"45","vedtak","2016","personer","50","bosatt_anmodede"
"46","vedtak","2016","personer","229","bosatt_anmodede"
"47","vedtak","2016","personer","153","bosatt_anmodede"
"48","vedtak","2016","personer","70","bosatt_anmodede"
"49","vedtak","2016","personer","180","bosatt_anmodede"
"50","vedtak","2016","personer","178","bosatt_anmodede"
"51","vedtak","2016","personer","132","bosatt_anmodede"
"52","vedtak","2016","personer","207","bosatt_anmodede"
"53","vedtak","2016","personer","198","bosatt_anmodede"
"54","vedtak","2016","personer","57","bosatt_anmodede"
"55","vedtak","2016","personer","145","bosatt_anmodede"
"56","vedtak","2016","personer","205","bosatt_anmodede"
"57","vedtak","2016","personer","76","bosatt_anmodede"
"58","vedtak","2016","personer","25","bosatt_anmodede"
"59","vedtak","2016","personer","44","bosatt_anmodede"
"60","vedtak","2016","personer","56","bosatt_anmodede"
"61","vedtak","2016","personer","816","bosatt_anmodede"
"62","vedtak","2016","personer","41","bosatt_anmodede"
"63","vedtak","2016","personer","80","bosatt_anmodede"
"64","vedtak","2016","personer","201","bosatt_anmodede"
"65","vedtak","2016","personer","79","bosatt_anmodede"
"66","vedtak","2016","personer","73","bosatt_anmodede"
"67","vedtak","2016","personer","98","bosatt_anmodede"
"68","vedtak","2016","personer","80","bosatt_anmodede"
"69","vedtak","2016","personer","102","bosatt_anmodede"
"70","vedtak","2016","personer","10","bosatt_anmodede"
"71","vedtak","2016","personer","40","bosatt_anmodede"
"72","vedtak","2016","personer","85","bosatt_anmodede"
"73","vedtak","2016","personer","295","bosatt_anmodede"
"74","vedtak","2016","personer","95","bosatt_anmodede"
"75","vedtak","2016","personer","110","bosatt_anmodede"
"76","vedtak","2016","personer","96","bosatt_anmodede"
"77","vedtak","2016","personer","202","bosatt_anmodede"
"78","vedtak","2016","personer","171","bosatt_anmodede"
"79","vedtak","2016","personer","225","bosatt_anmodede"
"80","vedtak","2016","personer","60","bosatt_anmodede"
"81","vedtak","2016","personer","142","bosatt_anmodede"
"82","vedtak","2016","personer","58","bosatt_anmodede"
"83","vedtak","2016","personer","217","bosatt_anmodede"
"99","vedtak","2016","personer",".","bosatt_anmodede"
"01","bosatt","2016","personer",".","bosatt_anmodede"
"02","bosatt","2016","personer",".","bosatt_anmodede"
"03","bosatt","2016","personer",".","bosatt_anmodede"
"04","bosatt","2016","personer",".","bosatt_anmodede"
"05","bosatt","2016","personer",".","bosatt_anmodede"
"06","bosatt","2016","personer",".","bosatt_anmodede"
"07","bosatt","2016","personer",".","bosatt_anmodede"
"08","bosatt","2016","personer",".","bosatt_anmodede"
"09","bosatt","2016","personer",".","bosatt_anmodede"
"10","bosatt","2016","personer",".","bosatt_anmodede"
"11","bosatt","2016","personer",".","bosatt_anmodede"
"12","bosatt","2016","personer",".","bosatt_anmodede"
"13","bosatt","2016","personer",".","bosatt_anmodede"
"14","bosatt","2016","personer",".","bosatt_anmodede"
"15","bosatt","2016","personer",".","bosatt_anmodede"
"16","bosatt","2016","personer",".","bosatt_anmodede"
"17","bosatt","2016","personer",".","bosatt_anmodede"
"18","bosatt","2016","personer",".","bosatt_anmodede"
"19","bosatt","2016","personer",".","bosatt_anmodede"
"20","bosatt","2016","personer",".","bosatt_anmodede"
"21","bosatt","2016","personer",".","bosatt_anmodede"
"22","bosatt","2016","personer",".","bosatt_anmodede"
"23","bosatt","2016","personer",".","bosatt_anmodede"
"24","bosatt","2016","personer",".","bosatt_anmodede"
"25","bosatt","2016","personer",".","bosatt_anmodede"
"26","bosatt","2016","personer",".","bosatt_anmodede"
"27","bosatt","2016","personer",".","bosatt_anmodede"
"28","bosatt","2016","personer",".","bosatt_anmodede"
"29","bosatt","2016","personer",".","bosatt_anmodede"
"30","bosatt","2016","personer",".","bosatt_anmodede"
"31","bosatt","2016","personer",".","bosatt_anmodede"
"32","bosatt","2016","personer",".","bosatt_anmodede"
"33","bosatt","2016","personer",".","bosatt_anmodede"
"34","bosatt","2016","personer",".","bosatt_anmodede"
"35","bosatt","2016","personer",".","bosatt_anmodede"
"36","bosatt","2016","personer",".","bosatt_anmodede"
"37","bosatt","2016","personer",".","bosatt_anmodede"
"38","bosatt","2016","personer",".","bosatt_anmodede"
"39","bosatt","2016","personer",".","bosatt_anmodede"
"40","bosatt","2016","personer",".","bosatt_anmodede"
"41","bosatt","2016","personer",".","bosatt_anmodede"
"42","bosatt","2016","personer",".","bosatt_anmodede"
"43","bosatt","2016","personer",".","bosatt_anmodede"
"44","bosatt","2016","personer",".","bosatt_anmodede"
"45","bosatt","2016","personer",".","bosatt_anmodede"
"46","bosatt","2016","personer",".","bosatt_anmodede"
"47","bosatt","2016","personer",".","bosatt_anmodede"
"48","bosatt","2016","personer",".","bosatt_anmodede"
"49","bosatt","2016","personer",".","bosatt_anmodede"
"50","bosatt","2016","personer",".","bosatt_anmodede"
"51","bosatt","2016","personer",".","bosatt_anmodede"
