"kommune_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"1557","alle","1_5","personer","129","2013","barnehagedeltakelse"
"1560","alle","1_5","personer","157","2013","barnehagedeltakelse"
"1563","alle","1_5","personer","318","2013","barnehagedeltakelse"
"1566","alle","1_5","personer","283","2013","barnehagedeltakelse"
"1567","alle","1_5","personer","109","2013","barnehagedeltakelse"
"1571","alle","1_5","personer","67","2013","barnehagedeltakelse"
"1573","alle","1_5","personer","114","2013","barnehagedeltakelse"
"1576","alle","1_5","personer","167","2013","barnehagedeltakelse"
"1601","alle","1_5","personer","11414","2013","barnehagedeltakelse"
"1612","alle","1_5","personer","232","2013","barnehagedeltakelse"
"1613","alle","1_5","personer","30","2013","barnehagedeltakelse"
"1617","alle","1_5","personer","215","2013","barnehagedeltakelse"
"1620","alle","1_5","personer","280","2013","barnehagedeltakelse"
"1621","alle","1_5","personer","272","2013","barnehagedeltakelse"
"1622","alle","1_5","personer","78","2013","barnehagedeltakelse"
"1624","alle","1_5","personer","352","2013","barnehagedeltakelse"
"1627","alle","1_5","personer","304","2013","barnehagedeltakelse"
"1630","alle","1_5","personer","114","2013","barnehagedeltakelse"
"1632","alle","1_5","personer","40","2013","barnehagedeltakelse"
"1633","alle","1_5","personer","46","2013","barnehagedeltakelse"
"1634","alle","1_5","personer","388","2013","barnehagedeltakelse"
"1635","alle","1_5","personer","106","2013","barnehagedeltakelse"
"1636","alle","1_5","personer","221","2013","barnehagedeltakelse"
"1638","alle","1_5","personer","753","2013","barnehagedeltakelse"
"1640","alle","1_5","personer","262","2013","barnehagedeltakelse"
"1644","alle","1_5","personer","95","2013","barnehagedeltakelse"
"1648","alle","1_5","personer","365","2013","barnehagedeltakelse"
"1653","alle","1_5","personer","1041","2013","barnehagedeltakelse"
"1657","alle","1_5","personer","601","2013","barnehagedeltakelse"
"1662","alle","1_5","personer","424","2013","barnehagedeltakelse"
"1663","alle","1_5","personer","944","2013","barnehagedeltakelse"
"1664","alle","1_5","personer","193","2013","barnehagedeltakelse"
"1665","alle","1_5","personer","33","2013","barnehagedeltakelse"
"1702","alle","1_5","personer","1265","2013","barnehagedeltakelse"
"1703","alle","1_5","personer","798","2013","barnehagedeltakelse"
"1711","alle","1_5","personer","121","2013","barnehagedeltakelse"
"1714","alle","1_5","personer","1494","2013","barnehagedeltakelse"
"1717","alle","1_5","personer","155","2013","barnehagedeltakelse"
"1718","alle","1_5","personer","205","2013","barnehagedeltakelse"
"1719","alle","1_5","personer","1180","2013","barnehagedeltakelse"
"1721","alle","1_5","personer","867","2013","barnehagedeltakelse"
"1724","alle","1_5","personer","117","2013","barnehagedeltakelse"
"1725","alle","1_5","personer","91","2013","barnehagedeltakelse"
"1736","alle","1_5","personer","106","2013","barnehagedeltakelse"
"1738","alle","1_5","personer","52","2013","barnehagedeltakelse"
"1739","alle","1_5","personer","25","2013","barnehagedeltakelse"
"1740","alle","1_5","personer","47","2013","barnehagedeltakelse"
"1742","alle","1_5","personer","128","2013","barnehagedeltakelse"
"1743","alle","1_5","personer","79","2013","barnehagedeltakelse"
"1744","alle","1_5","personer","256","2013","barnehagedeltakelse"
"1748","alle","1_5","personer","28","2013","barnehagedeltakelse"
"1749","alle","1_5","personer","42","2013","barnehagedeltakelse"
"1750","alle","1_5","personer","287","2013","barnehagedeltakelse"
"1751","alle","1_5","personer","282","2013","barnehagedeltakelse"
"1755","alle","1_5","personer","19","2013","barnehagedeltakelse"
"1756","alle","1_5","personer","368","2013","barnehagedeltakelse"
"1804","alle","1_5","personer","3187","2013","barnehagedeltakelse"
"1805","alle","1_5","personer","1090","2013","barnehagedeltakelse"
"1811","alle","1_5","personer","69","2013","barnehagedeltakelse"
"1812","alle","1_5","personer","105","2013","barnehagedeltakelse"
"1813","alle","1_5","personer","470","2013","barnehagedeltakelse"
"1815","alle","1_5","personer","52","2013","barnehagedeltakelse"
"1816","alle","1_5","personer","22","2013","barnehagedeltakelse"
"1818","alle","1_5","personer","87","2013","barnehagedeltakelse"
"1820","alle","1_5","personer","413","2013","barnehagedeltakelse"
"1822","alle","1_5","personer","127","2013","barnehagedeltakelse"
"1824","alle","1_5","personer","710","2013","barnehagedeltakelse"
"1825","alle","1_5","personer","64","2013","barnehagedeltakelse"
"1826","alle","1_5","personer","78","2013","barnehagedeltakelse"
"1827","alle","1_5","personer","80","2013","barnehagedeltakelse"
"1828","alle","1_5","personer","107","2013","barnehagedeltakelse"
"1832","alle","1_5","personer","242","2013","barnehagedeltakelse"
"1833","alle","1_5","personer","1489","2013","barnehagedeltakelse"
"1834","alle","1_5","personer","111","2013","barnehagedeltakelse"
"1835","alle","1_5","personer","23","2013","barnehagedeltakelse"
"1836","alle","1_5","personer","67","2013","barnehagedeltakelse"
"1837","alle","1_5","personer","366","2013","barnehagedeltakelse"
"1838","alle","1_5","personer","102","2013","barnehagedeltakelse"
"1839","alle","1_5","personer","38","2013","barnehagedeltakelse"
"1840","alle","1_5","personer","249","2013","barnehagedeltakelse"
"1841","alle","1_5","personer","474","2013","barnehagedeltakelse"
"1845","alle","1_5","personer","81","2013","barnehagedeltakelse"
"1848","alle","1_5","personer","100","2013","barnehagedeltakelse"
"1849","alle","1_5","personer","87","2013","barnehagedeltakelse"
"1850","alle","1_5","personer","92","2013","barnehagedeltakelse"
"1851","alle","1_5","personer","102","2013","barnehagedeltakelse"
"1852","alle","1_5","personer","59","2013","barnehagedeltakelse"
"1853","alle","1_5","personer","68","2013","barnehagedeltakelse"
"1854","alle","1_5","personer","124","2013","barnehagedeltakelse"
"1856","alle","1_5","personer","32","2013","barnehagedeltakelse"
"1857","alle","1_5","personer","42","2013","barnehagedeltakelse"
"1859","alle","1_5","personer","53","2013","barnehagedeltakelse"
"1860","alle","1_5","personer","651","2013","barnehagedeltakelse"
"1865","alle","1_5","personer","478","2013","barnehagedeltakelse"
"1866","alle","1_5","personer","415","2013","barnehagedeltakelse"
"1867","alle","1_5","personer","99","2013","barnehagedeltakelse"
"1868","alle","1_5","personer","222","2013","barnehagedeltakelse"
"1870","alle","1_5","personer","617","2013","barnehagedeltakelse"
"1871","alle","1_5","personer","241","2013","barnehagedeltakelse"
"1874","alle","1_5","personer","47","2013","barnehagedeltakelse"
"1902","alle","1_5","personer","4621","2013","barnehagedeltakelse"
"1903","alle","1_5","personer","1398","2013","barnehagedeltakelse"
"1911","alle","1_5","personer","173","2013","barnehagedeltakelse"
"1913","alle","1_5","personer","155","2013","barnehagedeltakelse"
"1917","alle","1_5","personer","49","2013","barnehagedeltakelse"
"1919","alle","1_5","personer","50","2013","barnehagedeltakelse"
"1920","alle","1_5","personer","68","2013","barnehagedeltakelse"
"1922","alle","1_5","personer","239","2013","barnehagedeltakelse"
"1923","alle","1_5","personer","108","2013","barnehagedeltakelse"
"1924","alle","1_5","personer","346","2013","barnehagedeltakelse"
"1925","alle","1_5","personer","197","2013","barnehagedeltakelse"
"1926","alle","1_5","personer","56","2013","barnehagedeltakelse"
"1927","alle","1_5","personer","77","2013","barnehagedeltakelse"
