"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"0301","treaar","0","annet","2013","personer","52","intro_status_arbutd"
"030101","treaar","0","annet","2013","personer","8","intro_status_arbutd"
"030102","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030103","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030104","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030105","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030106","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030107","treaar","0","annet","2013","personer","0","intro_status_arbutd"
"030108","treaar","0","annet","2013","personer","0","intro_status_arbutd"
"030109","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030110","treaar","0","annet","2013","personer","4","intro_status_arbutd"
"030111","treaar","0","annet","2013","personer","4","intro_status_arbutd"
"030112","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030113","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030114","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"030115","treaar","0","annet","2013","personer","4","intro_status_arbutd"
"030116","treaar","0","annet","2013","personer","0","intro_status_arbutd"
"030117","treaar","0","annet","2013","personer","0","intro_status_arbutd"
"030199","treaar","0","annet","2013","personer",":","intro_status_arbutd"
"0301","treaar","0","arbutd","2013","prosent","52","intro_status_arbutd"
"030101","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030102","treaar","0","arbutd","2013","prosent","44","intro_status_arbutd"
"030103","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030104","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030105","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030106","treaar","0","arbutd","2013","prosent","0","intro_status_arbutd"
"030107","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030108","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030109","treaar","0","arbutd","2013","prosent","43","intro_status_arbutd"
"030110","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030111","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030112","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030113","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030114","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030115","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"030116","treaar","0","arbutd","2013","prosent","0","intro_status_arbutd"
"030117","treaar","0","arbutd","2013","prosent","0","intro_status_arbutd"
"030199","treaar","0","arbutd","2013","prosent",":","intro_status_arbutd"
"0301","treaar","0","ledig_tiltak","2013","prosent","13","intro_status_arbutd"
"030101","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030102","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030103","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030104","treaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030105","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030106","treaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030107","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030108","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030109","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030110","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030111","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030112","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030113","treaar","0","ledig_tiltak","2013","prosent","25","intro_status_arbutd"
"030114","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030115","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030116","treaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030117","treaar","0","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030199","treaar","0","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"0301","treaar","0","annet","2013","prosent","35","intro_status_arbutd"
"030101","treaar","0","annet","2013","prosent","47","intro_status_arbutd"
"030102","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030103","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030104","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030105","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030106","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030107","treaar","0","annet","2013","prosent","0","intro_status_arbutd"
"030108","treaar","0","annet","2013","prosent","0","intro_status_arbutd"
"030109","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030110","treaar","0","annet","2013","prosent","29","intro_status_arbutd"
"030111","treaar","0","annet","2013","prosent","40","intro_status_arbutd"
"030112","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030113","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030114","treaar","0","annet","2013","prosent",":","intro_status_arbutd"
"030115","treaar","0","annet","2013","prosent","33","intro_status_arbutd"
"030116","treaar","0","annet","2013","prosent","0","intro_status_arbutd"
