"aar","bydel_nr","enhet","tabellvariabel","tabell_navn","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
2014,"NULL","personer","8882","befolkning_verdensregion_9","vest_europa","11","NULL","NULL"
2014,"NULL","personer","18937","befolkning_verdensregion_9","eu_ost_europa","11","NULL","NULL"
2014,"NULL","personer","4874","befolkning_verdensregion_9","ost_europa_ellers","11","NULL","NULL"
2014,"NULL","personer","1848","befolkning_verdensregion_9","nord_amerika_oseania","11","NULL","NULL"
2014,"NULL","personer","15195","befolkning_verdensregion_9","asia","11","NULL","NULL"
2014,"NULL","personer","5279","befolkning_verdensregion_9","afrika","11","NULL","NULL"
2014,"NULL","personer","2202","befolkning_verdensregion_9","sor_og_mellom_amerika","11","NULL","NULL"
2014,"NULL","personer","4005","befolkning_verdensregion_9","norden","12","NULL","NULL"
2014,"NULL","personer","7016","befolkning_verdensregion_9","vest_europa","12","NULL","NULL"
2014,"NULL","personer","18187","befolkning_verdensregion_9","eu_ost_europa","12","NULL","NULL"
2014,"NULL","personer","3259","befolkning_verdensregion_9","ost_europa_ellers","12","NULL","NULL"
2014,"NULL","personer","1248","befolkning_verdensregion_9","nord_amerika_oseania","12","NULL","NULL"
2014,"NULL","personer","12842","befolkning_verdensregion_9","asia","12","NULL","NULL"
2014,"NULL","personer","6090","befolkning_verdensregion_9","afrika","12","NULL","NULL"
2014,"NULL","personer","2528","befolkning_verdensregion_9","sor_og_mellom_amerika","12","NULL","NULL"
2014,"NULL","personer","821","befolkning_verdensregion_9","norden","14","NULL","NULL"
2014,"NULL","personer","1332","befolkning_verdensregion_9","vest_europa","14","NULL","NULL"
2014,"NULL","personer","3661","befolkning_verdensregion_9","eu_ost_europa","14","NULL","NULL"
2014,"NULL","personer","500","befolkning_verdensregion_9","ost_europa_ellers","14","NULL","NULL"
2014,"NULL","personer","119","befolkning_verdensregion_9","nord_amerika_oseania","14","NULL","NULL"
2014,"NULL","personer","1408","befolkning_verdensregion_9","asia","14","NULL","NULL"
2014,"NULL","personer","1273","befolkning_verdensregion_9","afrika","14","NULL","NULL"
2014,"NULL","personer","335","befolkning_verdensregion_9","sor_og_mellom_amerika","14","NULL","NULL"
2014,"NULL","personer","1808","befolkning_verdensregion_9","norden","15","NULL","NULL"
2014,"NULL","personer","3122","befolkning_verdensregion_9","vest_europa","15","NULL","NULL"
2014,"NULL","personer","10298","befolkning_verdensregion_9","eu_ost_europa","15","NULL","NULL"
2014,"NULL","personer","1601","befolkning_verdensregion_9","ost_europa_ellers","15","NULL","NULL"
2014,"NULL","personer","351","befolkning_verdensregion_9","nord_amerika_oseania","15","NULL","NULL"
2014,"NULL","personer","4793","befolkning_verdensregion_9","asia","15","NULL","NULL"
2014,"NULL","personer","2239","befolkning_verdensregion_9","afrika","15","NULL","NULL"
2014,"NULL","personer","629","befolkning_verdensregion_9","sor_og_mellom_amerika","15","NULL","NULL"
2014,"NULL","personer","2598","befolkning_verdensregion_9","norden","16","NULL","NULL"
2014,"NULL","personer","3547","befolkning_verdensregion_9","vest_europa","16","NULL","NULL"
2014,"NULL","personer","7591","befolkning_verdensregion_9","eu_ost_europa","16","NULL","NULL"
2014,"NULL","personer","2164","befolkning_verdensregion_9","ost_europa_ellers","16","NULL","NULL"
2014,"NULL","personer","624","befolkning_verdensregion_9","nord_amerika_oseania","16","NULL","NULL"
2014,"NULL","personer","7805","befolkning_verdensregion_9","asia","16","NULL","NULL"
2014,"NULL","personer","3170","befolkning_verdensregion_9","afrika","16","NULL","NULL"
2014,"NULL","personer","990","befolkning_verdensregion_9","sor_og_mellom_amerika","16","NULL","NULL"
2014,"NULL","personer","842","befolkning_verdensregion_9","norden","17","NULL","NULL"
2014,"NULL","personer","768","befolkning_verdensregion_9","vest_europa","17","NULL","NULL"
2014,"NULL","personer","2327","befolkning_verdensregion_9","eu_ost_europa","17","NULL","NULL"
2014,"NULL","personer","545","befolkning_verdensregion_9","ost_europa_ellers","17","NULL","NULL"
2014,"NULL","personer","114","befolkning_verdensregion_9","nord_amerika_oseania","17","NULL","NULL"
2014,"NULL","personer","2024","befolkning_verdensregion_9","asia","17","NULL","NULL"
2014,"NULL","personer","1618","befolkning_verdensregion_9","afrika","17","NULL","NULL"
2014,"NULL","personer","171","befolkning_verdensregion_9","sor_og_mellom_amerika","17","NULL","NULL"
2014,"NULL","personer","1996","befolkning_verdensregion_9","norden","18","NULL","NULL"
2014,"NULL","personer","1594","befolkning_verdensregion_9","vest_europa","18","NULL","NULL"
2014,"NULL","personer","4486","befolkning_verdensregion_9","eu_ost_europa","18","NULL","NULL"
2014,"NULL","personer","1500","befolkning_verdensregion_9","ost_europa_ellers","18","NULL","NULL"
2014,"NULL","personer","231","befolkning_verdensregion_9","nord_amerika_oseania","18","NULL","NULL"
2014,"NULL","personer","4205","befolkning_verdensregion_9","asia","18","NULL","NULL"
2014,"NULL","personer","3327","befolkning_verdensregion_9","afrika","18","NULL","NULL"
2014,"NULL","personer","349","befolkning_verdensregion_9","sor_og_mellom_amerika","18","NULL","NULL"
2014,"NULL","personer","1943","befolkning_verdensregion_9","norden","19","NULL","NULL"
2014,"NULL","personer","1820","befolkning_verdensregion_9","vest_europa","19","NULL","NULL"
2014,"NULL","personer","2999","befolkning_verdensregion_9","eu_ost_europa","19","NULL","NULL"
2014,"NULL","personer","1157","befolkning_verdensregion_9","ost_europa_ellers","19","NULL","NULL"
2014,"NULL","personer","244","befolkning_verdensregion_9","nord_amerika_oseania","19","NULL","NULL"
