"tabell_navn","aar","naringsregion_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","38","vest_europa","person","424"
"befolkning_verdensregion_9","2015","38","eu_ost_europa","person","950"
"befolkning_verdensregion_9","2015","38","ost_europa_ellers","person","142"
"befolkning_verdensregion_9","2015","38","nord_amerika_oseania","person","28"
"befolkning_verdensregion_9","2015","38","asia","person","379"
"befolkning_verdensregion_9","2015","38","afrika","person","327"
"befolkning_verdensregion_9","2015","38","sor_og_mellom_amerika","person","32"
"befolkning_verdensregion_9","2015","38","alle","person","2455"
"befolkning_verdensregion_9","2015","39","norden","person","4447"
"befolkning_verdensregion_9","2015","39","vest_europa","person","7262"
"befolkning_verdensregion_9","2015","39","eu_ost_europa","person","14477"
"befolkning_verdensregion_9","2015","39","ost_europa_ellers","person","3949"
"befolkning_verdensregion_9","2015","39","nord_amerika_oseania","person","1571"
"befolkning_verdensregion_9","2015","39","asia","person","12432"
"befolkning_verdensregion_9","2015","39","afrika","person","4471"
"befolkning_verdensregion_9","2015","39","sor_og_mellom_amerika","person","1864"
"befolkning_verdensregion_9","2015","39","alle","person","50473"
"befolkning_verdensregion_9","2015","40","norden","person","2645"
"befolkning_verdensregion_9","2015","40","vest_europa","person","4745"
"befolkning_verdensregion_9","2015","40","eu_ost_europa","person","11154"
"befolkning_verdensregion_9","2015","40","ost_europa_ellers","person","2323"
"befolkning_verdensregion_9","2015","40","nord_amerika_oseania","person","925"
"befolkning_verdensregion_9","2015","40","asia","person","9616"
"befolkning_verdensregion_9","2015","40","afrika","person","4776"
"befolkning_verdensregion_9","2015","40","sor_og_mellom_amerika","person","2050"
"befolkning_verdensregion_9","2015","40","alle","person","38234"
"befolkning_verdensregion_9","2015","41","norden","person","155"
"befolkning_verdensregion_9","2015","41","vest_europa","person","225"
"befolkning_verdensregion_9","2015","41","eu_ost_europa","person","1213"
"befolkning_verdensregion_9","2015","41","ost_europa_ellers","person","146"
"befolkning_verdensregion_9","2015","41","nord_amerika_oseania","person","40"
"befolkning_verdensregion_9","2015","41","asia","person","366"
"befolkning_verdensregion_9","2015","41","afrika","person","88"
"befolkning_verdensregion_9","2015","41","sor_og_mellom_amerika","person","79"
"befolkning_verdensregion_9","2015","41","alle","person","2312"
"befolkning_verdensregion_9","2015","42","norden","person","169"
"befolkning_verdensregion_9","2015","42","vest_europa","person","339"
"befolkning_verdensregion_9","2015","42","eu_ost_europa","person","807"
"befolkning_verdensregion_9","2015","42","ost_europa_ellers","person","140"
"befolkning_verdensregion_9","2015","42","nord_amerika_oseania","person","24"
"befolkning_verdensregion_9","2015","42","asia","person","384"
"befolkning_verdensregion_9","2015","42","afrika","person","306"
"befolkning_verdensregion_9","2015","42","sor_og_mellom_amerika","person","32"
"befolkning_verdensregion_9","2015","42","alle","person","2201"
"befolkning_verdensregion_9","2015","43","norden","person","85"
"befolkning_verdensregion_9","2015","43","vest_europa","person","141"
"befolkning_verdensregion_9","2015","43","eu_ost_europa","person","334"
"befolkning_verdensregion_9","2015","43","ost_europa_ellers","person","51"
"befolkning_verdensregion_9","2015","43","nord_amerika_oseania","person","22"
"befolkning_verdensregion_9","2015","43","asia","person","205"
"befolkning_verdensregion_9","2015","43","afrika","person","163"
"befolkning_verdensregion_9","2015","43","sor_og_mellom_amerika","person","14"
"befolkning_verdensregion_9","2015","43","alle","person","1015"
"befolkning_verdensregion_9","2015","44","norden","person","162"
"befolkning_verdensregion_9","2015","44","vest_europa","person","271"
"befolkning_verdensregion_9","2015","44","eu_ost_europa","person","1385"
"befolkning_verdensregion_9","2015","44","ost_europa_ellers","person","120"
"befolkning_verdensregion_9","2015","44","nord_amerika_oseania","person","46"
"befolkning_verdensregion_9","2015","44","asia","person","418"
"befolkning_verdensregion_9","2015","44","afrika","person","249"
"befolkning_verdensregion_9","2015","44","sor_og_mellom_amerika","person","72"
"befolkning_verdensregion_9","2015","44","alle","person","2723"
"befolkning_verdensregion_9","2015","45","norden","person","72"
"befolkning_verdensregion_9","2015","45","vest_europa","person","122"
"befolkning_verdensregion_9","2015","45","eu_ost_europa","person","479"
"befolkning_verdensregion_9","2015","45","ost_europa_ellers","person","33"
"befolkning_verdensregion_9","2015","45","nord_amerika_oseania","person","13"
"befolkning_verdensregion_9","2015","45","asia","person","126"
"befolkning_verdensregion_9","2015","45","afrika","person","73"
"befolkning_verdensregion_9","2015","45","sor_og_mellom_amerika","person","24"
"befolkning_verdensregion_9","2015","45","alle","person","942"
"befolkning_verdensregion_9","2015","46","norden","person","506"
"befolkning_verdensregion_9","2015","46","vest_europa","person","731"
"befolkning_verdensregion_9","2015","46","eu_ost_europa","person","2396"
"befolkning_verdensregion_9","2015","46","ost_europa_ellers","person","337"
"befolkning_verdensregion_9","2015","46","nord_amerika_oseania","person","69"
"befolkning_verdensregion_9","2015","46","asia","person","1137"
"befolkning_verdensregion_9","2015","46","afrika","person","457"
"befolkning_verdensregion_9","2015","46","sor_og_mellom_amerika","person","150"
"befolkning_verdensregion_9","2015","46","alle","person","5783"
"befolkning_verdensregion_9","2015","47","norden","person","317"
"befolkning_verdensregion_9","2015","47","vest_europa","person","636"
"befolkning_verdensregion_9","2015","47","eu_ost_europa","person","2243"
"befolkning_verdensregion_9","2015","47","ost_europa_ellers","person","252"
"befolkning_verdensregion_9","2015","47","nord_amerika_oseania","person","98"
"befolkning_verdensregion_9","2015","47","asia","person","1121"
"befolkning_verdensregion_9","2015","47","afrika","person","545"
"befolkning_verdensregion_9","2015","47","sor_og_mellom_amerika","person","211"
"befolkning_verdensregion_9","2015","47","alle","person","5423"
"befolkning_verdensregion_9","2015","48","norden","person","68"
"befolkning_verdensregion_9","2015","48","vest_europa","person","172"
"befolkning_verdensregion_9","2015","48","eu_ost_europa","person","353"
"befolkning_verdensregion_9","2015","48","ost_europa_ellers","person","65"
"befolkning_verdensregion_9","2015","48","nord_amerika_oseania","person","20"
"befolkning_verdensregion_9","2015","48","asia","person","136"
"befolkning_verdensregion_9","2015","48","afrika","person","51"
"befolkning_verdensregion_9","2015","48","sor_og_mellom_amerika","person","51"
"befolkning_verdensregion_9","2015","48","alle","person","916"
"befolkning_verdensregion_9","2015","49","norden","person","312"
"befolkning_verdensregion_9","2015","49","vest_europa","person","514"
"befolkning_verdensregion_9","2015","49","eu_ost_europa","person","1415"
"befolkning_verdensregion_9","2015","49","ost_europa_ellers","person","125"
"befolkning_verdensregion_9","2015","49","nord_amerika_oseania","person","40"
"befolkning_verdensregion_9","2015","49","asia","person","459"
"befolkning_verdensregion_9","2015","49","afrika","person","378"
"befolkning_verdensregion_9","2015","49","sor_og_mellom_amerika","person","78"
"befolkning_verdensregion_9","2015","49","alle","person","3321"
"befolkning_verdensregion_9","2015","50","norden","person","290"
