"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","34","befolkningen_ellers","0","personer","0_5","813"
"befolkning_alder","2006","34","befolkningen_ellers","1","personer","0_5","901"
"befolkning_alder","2006","34","befolkningen_ellers","alle","personer","0_5","1714"
"befolkning_alder","2006","34","innvandrere","0","personer","0_5","20"
"befolkning_alder","2006","34","innvandrere","1","personer","0_5","16"
"befolkning_alder","2006","34","innvandrere","alle","personer","0_5","36"
"befolkning_alder","2006","35","alle","0","personer","0_5","4417"
"befolkning_alder","2006","35","alle","1","personer","0_5","4626"
"befolkning_alder","2006","35","alle","alle","personer","0_5","9043"
"befolkning_alder","2006","35","befolkningen_ellers","0","personer","0_5","4333"
"befolkning_alder","2006","35","befolkningen_ellers","1","personer","0_5","4547"
"befolkning_alder","2006","35","befolkningen_ellers","alle","personer","0_5","8880"
"befolkning_alder","2006","35","innvandrere","0","personer","0_5","84"
"befolkning_alder","2006","35","innvandrere","1","personer","0_5","79"
"befolkning_alder","2006","35","innvandrere","alle","personer","0_5","163"
"befolkning_alder","2006","36","alle","0","personer","0_5","842"
"befolkning_alder","2006","36","alle","1","personer","0_5","852"
"befolkning_alder","2006","36","alle","alle","personer","0_5","1694"
"befolkning_alder","2006","36","befolkningen_ellers","0","personer","0_5","835"
"befolkning_alder","2006","36","befolkningen_ellers","1","personer","0_5","847"
"befolkning_alder","2006","36","befolkningen_ellers","alle","personer","0_5","1682"
"befolkning_alder","2006","36","innvandrere","0","personer","0_5","7"
"befolkning_alder","2006","36","innvandrere","1","personer","0_5","5"
"befolkning_alder","2006","36","innvandrere","alle","personer","0_5","12"
"befolkning_alder","2006","37","alle","0","personer","0_5","3529"
"befolkning_alder","2006","37","alle","1","personer","0_5","3825"
"befolkning_alder","2006","37","alle","alle","personer","0_5","7354"
"befolkning_alder","2006","37","befolkningen_ellers","0","personer","0_5","3489"
"befolkning_alder","2006","37","befolkningen_ellers","1","personer","0_5","3768"
"befolkning_alder","2006","37","befolkningen_ellers","alle","personer","0_5","7257"
"befolkning_alder","2006","37","innvandrere","0","personer","0_5","40"
"befolkning_alder","2006","37","innvandrere","1","personer","0_5","57"
"befolkning_alder","2006","37","innvandrere","alle","personer","0_5","97"
"befolkning_alder","2006","38","alle","0","personer","0_5","840"
"befolkning_alder","2006","38","alle","1","personer","0_5","872"
"befolkning_alder","2006","38","alle","alle","personer","0_5","1712"
"befolkning_alder","2006","38","befolkningen_ellers","0","personer","0_5","823"
"befolkning_alder","2006","38","befolkningen_ellers","1","personer","0_5","857"
"befolkning_alder","2006","38","befolkningen_ellers","alle","personer","0_5","1680"
"befolkning_alder","2006","38","innvandrere","0","personer","0_5","17"
"befolkning_alder","2006","38","innvandrere","1","personer","0_5","15"
"befolkning_alder","2006","38","innvandrere","alle","personer","0_5","32"
"befolkning_alder","2006","39","alle","0","personer","0_5","11230"
