"naringsregion_nr","tilskudd_til_kommuner","tabellvariabel","tabell_navn","aar","enhet"
"66","eldre_tilsk",157500,"tilskudd","2015","kroner"
"67","eldre_tilsk",0,"tilskudd","2015","kroner"
"68","eldre_tilsk",152200,"tilskudd","2015","kroner"
"69","eldre_tilsk",157500,"tilskudd","2015","kroner"
"70","eldre_tilsk",0,"tilskudd","2015","kroner"
"71","eldre_tilsk",0,"tilskudd","2015","kroner"
"72","eldre_tilsk",0,"tilskudd","2015","kroner"
"73","eldre_tilsk",315000,"tilskudd","2015","kroner"
"74","eldre_tilsk",0,"tilskudd","2015","kroner"
"75","eldre_tilsk",157500,"tilskudd","2015","kroner"
"76","eldre_tilsk",0,"tilskudd","2015","kroner"
"77","eldre_tilsk",157500,"tilskudd","2015","kroner"
"78","eldre_tilsk",309700,"tilskudd","2015","kroner"
"79","eldre_tilsk",315000,"tilskudd","2015","kroner"
"80","eldre_tilsk",0,"tilskudd","2015","kroner"
"81","eldre_tilsk",472500,"tilskudd","2015","kroner"
"82","eldre_tilsk",0,"tilskudd","2015","kroner"
"83","eldre_tilsk",157500,"tilskudd","2015","kroner"
"99","eldre_tilsk",0,"tilskudd","2015","kroner"
"01","em_tilsk",908675,"tilskudd","2015","kroner"
"02","em_tilsk",3182433,"tilskudd","2015","kroner"
"03","em_tilsk",4143359,"tilskudd","2015","kroner"
"04","em_tilsk",12128657,"tilskudd","2015","kroner"
"05","em_tilsk",16066743,"tilskudd","2015","kroner"
"06","em_tilsk",6723449,"tilskudd","2015","kroner"
"07","em_tilsk",9150518,"tilskudd","2015","kroner"
"08","em_tilsk",4569850,"tilskudd","2015","kroner"
"09","em_tilsk",29103555,"tilskudd","2015","kroner"
"10","em_tilsk",5324519,"tilskudd","2015","kroner"
"11","em_tilsk",956500,"tilskudd","2015","kroner"
"12","em_tilsk",7895849,"tilskudd","2015","kroner"
"13","em_tilsk",6180451,"tilskudd","2015","kroner"
"14","em_tilsk",8282499,"tilskudd","2015","kroner"
"15","em_tilsk",1620150,"tilskudd","2015","kroner"
"16","em_tilsk",3379981,"tilskudd","2015","kroner"
"17","em_tilsk",191300,"tilskudd","2015","kroner"
"18","em_tilsk",1209600,"tilskudd","2015","kroner"
"19","em_tilsk",191300,"tilskudd","2015","kroner"
"20","em_tilsk",12336100,"tilskudd","2015","kroner"
"21","em_tilsk",286950,"tilskudd","2015","kroner"
"22","em_tilsk",2949207,"tilskudd","2015","kroner"
"23","em_tilsk",3028425,"tilskudd","2015","kroner"
"24","em_tilsk",382600,"tilskudd","2015","kroner"
"25","em_tilsk",16396018,"tilskudd","2015","kroner"
"26","em_tilsk",7746176,"tilskudd","2015","kroner"
"27","em_tilsk",17273394,"tilskudd","2015","kroner"
"28","em_tilsk",573900,"tilskudd","2015","kroner"
"29","em_tilsk",7013841,"tilskudd","2015","kroner"
"30","em_tilsk",797083,"tilskudd","2015","kroner"
"31","em_tilsk",223183,"tilskudd","2015","kroner"
"32","em_tilsk",11585170,"tilskudd","2015","kroner"
"33","em_tilsk",765200,"tilskudd","2015","kroner"
"34","em_tilsk",2933266,"tilskudd","2015","kroner"
"35","em_tilsk",11300677,"tilskudd","2015","kroner"
"36","em_tilsk",2358383,"tilskudd","2015","kroner"
"37","em_tilsk",573900,"tilskudd","2015","kroner"
"38","em_tilsk",828967,"tilskudd","2015","kroner"
"39","em_tilsk",18888418,"tilskudd","2015","kroner"
"40","em_tilsk",21790785,"tilskudd","2015","kroner"
"41","em_tilsk",0,"tilskudd","2015","kroner"
"42","em_tilsk",478250,"tilskudd","2015","kroner"
"43","em_tilsk",382600,"tilskudd","2015","kroner"
"44","em_tilsk",1323158,"tilskudd","2015","kroner"
