"kommune_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"1534","anmodning","personer","30","bosatt_anmodede","2014"
"1535","anmodning","personer","15","bosatt_anmodede","2014"
"1539","anmodning","personer","15","bosatt_anmodede","2014"
"1543","anmodning","personer","10","bosatt_anmodede","2014"
"1545","anmodning","personer","10","bosatt_anmodede","2014"
"1546","anmodning","personer","10","bosatt_anmodede","2014"
"1547","anmodning","personer","15","bosatt_anmodede","2014"
"1548","anmodning","personer","30","bosatt_anmodede","2014"
"1551","anmodning","personer","10","bosatt_anmodede","2014"
"1554","anmodning","personer","15","bosatt_anmodede","2014"
"1557","anmodning","personer","15","bosatt_anmodede","2014"
"1560","anmodning","personer","10","bosatt_anmodede","2014"
"1563","anmodning","personer","35","bosatt_anmodede","2014"
"1566","anmodning","personer","15","bosatt_anmodede","2014"
"1567","anmodning","personer","10","bosatt_anmodede","2014"
"1571","anmodning","personer","10","bosatt_anmodede","2014"
"1573","anmodning","personer","10","bosatt_anmodede","2014"
"1576","anmodning","personer","10","bosatt_anmodede","2014"
"1601","anmodning","personer","300","bosatt_anmodede","2014"
"1612","anmodning","personer","10","bosatt_anmodede","2014"
"1613","anmodning","personer","10","bosatt_anmodede","2014"
"1617","anmodning","personer","15","bosatt_anmodede","2014"
"1620","anmodning","personer","15","bosatt_anmodede","2014"
"1621","anmodning","personer","15","bosatt_anmodede","2014"
"1622","anmodning","personer","10","bosatt_anmodede","2014"
"1624","anmodning","personer","20","bosatt_anmodede","2014"
"1627","anmodning","personer","15","bosatt_anmodede","2014"
"1630","anmodning","personer","10","bosatt_anmodede","2014"
"1632","anmodning","personer","10","bosatt_anmodede","2014"
"1633","anmodning","personer","10","bosatt_anmodede","2014"
"1634","anmodning","personer","20","bosatt_anmodede","2014"
"1635","anmodning","personer","10","bosatt_anmodede","2014"
"1636","anmodning","personer","10","bosatt_anmodede","2014"
"1638","anmodning","personer","30","bosatt_anmodede","2014"
"1640","anmodning","personer","15","bosatt_anmodede","2014"
"1644","anmodning","personer","10","bosatt_anmodede","2014"
"1648","anmodning","personer","15","bosatt_anmodede","2014"
"1653","anmodning","personer","35","bosatt_anmodede","2014"
"1657","anmodning","personer","20","bosatt_anmodede","2014"
"1662","anmodning","personer","15","bosatt_anmodede","2014"
"1663","anmodning","personer","30","bosatt_anmodede","2014"
"1664","anmodning","personer","10","bosatt_anmodede","2014"
"1665","anmodning","personer","10","bosatt_anmodede","2014"
"1702","anmodning","personer","45","bosatt_anmodede","2014"
"1703","anmodning","personer","40","bosatt_anmodede","2014"
"1711","anmodning","personer","15","bosatt_anmodede","2014"
"1714","anmodning","personer","45","bosatt_anmodede","2014"
"1717","anmodning","personer","10","bosatt_anmodede","2014"
"1718","anmodning","personer","10","bosatt_anmodede","2014"
"1719","anmodning","personer","45","bosatt_anmodede","2014"
"1721","anmodning","personer","35","bosatt_anmodede","2014"
"1724","anmodning","personer","10","bosatt_anmodede","2014"
"1725","anmodning","personer","10","bosatt_anmodede","2014"
"1736","anmodning","personer","10","bosatt_anmodede","2014"
"1738","anmodning","personer","10","bosatt_anmodede","2014"
"1739","anmodning","personer","10","bosatt_anmodede","2014"
"1740","anmodning","personer","10","bosatt_anmodede","2014"
"1742","anmodning","personer","15","bosatt_anmodede","2014"
"1743","anmodning","personer","10","bosatt_anmodede","2014"
"1744","anmodning","personer","10","bosatt_anmodede","2014"
"1748","anmodning","personer","10","bosatt_anmodede","2014"
"1749","anmodning","personer","10","bosatt_anmodede","2014"
"1750","anmodning","personer","15","bosatt_anmodede","2014"
"1751","anmodning","personer","20","bosatt_anmodede","2014"
"1755","anmodning","personer","10","bosatt_anmodede","2014"
"1756","anmodning","personer","20","bosatt_anmodede","2014"
"1804","anmodning","personer","90","bosatt_anmodede","2014"
"1805","anmodning","personer","40","bosatt_anmodede","2014"
"1811","anmodning","personer","10","bosatt_anmodede","2014"
"1812","anmodning","personer","15","bosatt_anmodede","2014"
"1813","anmodning","personer","30","bosatt_anmodede","2014"
"1815","anmodning","personer","15","bosatt_anmodede","2014"
"1816","anmodning","personer","10","bosatt_anmodede","2014"
"1818","anmodning","personer","10","bosatt_anmodede","2014"
"1820","anmodning","personer","35","bosatt_anmodede","2014"
"1822","anmodning","personer","20","bosatt_anmodede","2014"
"1824","anmodning","personer","30","bosatt_anmodede","2014"
"1825","anmodning","personer","15","bosatt_anmodede","2014"
"1826","anmodning","personer","15","bosatt_anmodede","2014"
"1827","anmodning","personer","10","bosatt_anmodede","2014"
"1828","anmodning","personer","20","bosatt_anmodede","2014"
"1832","anmodning","personer","10","bosatt_anmodede","2014"
"1833","anmodning","personer","50","bosatt_anmodede","2014"
"1834","anmodning","personer","15","bosatt_anmodede","2014"
"1835","anmodning","personer","10","bosatt_anmodede","2014"
"1836","anmodning","personer","15","bosatt_anmodede","2014"
"1837","anmodning","personer","15","bosatt_anmodede","2014"
"1838","anmodning","personer","15","bosatt_anmodede","2014"
"1839","anmodning","personer","10","bosatt_anmodede","2014"
"1840","anmodning","personer","20","bosatt_anmodede","2014"
"1841","anmodning","personer","25","bosatt_anmodede","2014"
"1845","anmodning","personer","10","bosatt_anmodede","2014"
"1848","anmodning","personer","10","bosatt_anmodede","2014"
"1849","anmodning","personer","20","bosatt_anmodede","2014"
"1850","anmodning","personer","15","bosatt_anmodede","2014"
"1851","anmodning","personer","15","bosatt_anmodede","2014"
"1852","anmodning","personer","15","bosatt_anmodede","2014"
"1853","anmodning","personer","15","bosatt_anmodede","2014"
"1854","anmodning","personer","15","bosatt_anmodede","2014"
"1856","anmodning","personer","10","bosatt_anmodede","2014"
"1857","anmodning","personer","10","bosatt_anmodede","2014"
"1859","anmodning","personer","15","bosatt_anmodede","2014"
"1860","anmodning","personer","40","bosatt_anmodede","2014"
"1865","anmodning","personer","40","bosatt_anmodede","2014"
"1866","anmodning","personer","25","bosatt_anmodede","2014"
"1867","anmodning","personer","15","bosatt_anmodede","2014"
"1868","anmodning","personer","15","bosatt_anmodede","2014"
"1870","anmodning","personer","35","bosatt_anmodede","2014"
"1871","anmodning","personer","30","bosatt_anmodede","2014"
"1874","anmodning","personer","15","bosatt_anmodede","2014"
"1902","anmodning","personer","120","bosatt_anmodede","2014"
"1903","anmodning","personer","70","bosatt_anmodede","2014"
"1911","anmodning","personer","10","bosatt_anmodede","2014"
"1913","anmodning","personer","10","bosatt_anmodede","2014"
"1917","anmodning","personer","15","bosatt_anmodede","2014"
"1919","anmodning","personer","10","bosatt_anmodede","2014"
"1920","anmodning","personer","15","bosatt_anmodede","2014"
"1922","anmodning","personer","15","bosatt_anmodede","2014"
"1923","anmodning","personer","20","bosatt_anmodede","2014"
"1924","anmodning","personer","20","bosatt_anmodede","2014"
"1925","anmodning","personer","20","bosatt_anmodede","2014"
"1926","anmodning","personer","15","bosatt_anmodede","2014"
"1927","anmodning","personer","15","bosatt_anmodede","2014"
"1928","anmodning","personer","10","bosatt_anmodede","2014"
"1929","anmodning","personer","10","bosatt_anmodede","2014"
"1931","anmodning","personer","40","bosatt_anmodede","2014"
"1933","anmodning","personer","20","bosatt_anmodede","2014"
"1936","anmodning","personer","10","bosatt_anmodede","2014"
"1938","anmodning","personer","15","bosatt_anmodede","2014"
"1939","anmodning","personer","10","bosatt_anmodede","2014"
"1940","anmodning","personer","10","bosatt_anmodede","2014"
"1941","anmodning","personer","10","bosatt_anmodede","2014"
"1942","anmodning","personer","20","bosatt_anmodede","2014"
"1943","anmodning","personer","15","bosatt_anmodede","2014"
"2002","anmodning","personer","20","bosatt_anmodede","2014"
"2003","anmodning","personer","90","bosatt_anmodede","2014"
"2004","anmodning","personer","30","bosatt_anmodede","2014"
"2011","anmodning","personer","20","bosatt_anmodede","2014"
"2012","anmodning","personer","40","bosatt_anmodede","2014"
"2014","anmodning","personer","15","bosatt_anmodede","2014"
"2015","anmodning","personer","15","bosatt_anmodede","2014"
"2017","anmodning","personer","10","bosatt_anmodede","2014"
"2018","anmodning","personer","15","bosatt_anmodede","2014"
"2019","anmodning","personer","10","bosatt_anmodede","2014"
"2020","anmodning","personer","20","bosatt_anmodede","2014"
"2021","anmodning","personer","20","bosatt_anmodede","2014"
"2022","anmodning","personer","15","bosatt_anmodede","2014"
"2023","anmodning","personer","15","bosatt_anmodede","2014"
"2024","anmodning","personer","15","bosatt_anmodede","2014"
"2025","anmodning","personer","15","bosatt_anmodede","2014"
"2027","anmodning","personer","10","bosatt_anmodede","2014"
"2028","anmodning","personer","10","bosatt_anmodede","2014"
"2030","anmodning","personer","40","bosatt_anmodede","2014"
"9999","anmodning","personer","","bosatt_anmodede","2014"
"0101","vedtak","personer","21","bosatt_anmodede","2014"
"0104","vedtak","personer","20","bosatt_anmodede","2014"
"0105","vedtak","personer","65","bosatt_anmodede","2014"
"0106","vedtak","personer","69","bosatt_anmodede","2014"
"0111","vedtak","personer","15","bosatt_anmodede","2014"
"0118","vedtak","personer",".","bosatt_anmodede","2014"
"0119","vedtak","personer","4","bosatt_anmodede","2014"
"0121","vedtak","personer",".","bosatt_anmodede","2014"
