"kommune_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"1519","ettaar","alle","alle","2014","personer","19","intro_status_arbutd"
"1520","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1523","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1524","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1525","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1526","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1528","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1529","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1531","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1532","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1534","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1535","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1539","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1543","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1545","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1546","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1547","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1548","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1551","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1554","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1557","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1560","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"1563","ettaar","alle","alle","2014","personer","22","intro_status_arbutd"
"1566","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1567","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1571","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1573","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1576","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1601","ettaar","alle","alle","2014","personer","163","intro_status_arbutd"
"1612","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1613","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1617","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1620","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1621","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1622","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1624","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1627","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1630","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1632","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1633","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1634","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1635","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1636","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1638","ettaar","alle","alle","2014","personer","22","intro_status_arbutd"
"1640","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1644","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1648","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1653","ettaar","alle","alle","2014","personer","15","intro_status_arbutd"
"1657","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"1662","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1663","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"1664","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1665","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1702","ettaar","alle","alle","2014","personer","29","intro_status_arbutd"
