"kommune_nr","kommune_navn","standard_utgave","kommune_note","fylke_nr","fylke_navn","fylke_note","naringsregion_nr","naringsregion_navn"
"0220","Asker","2006","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2003","","02","Akershus","","05","Akershus Vest"
"0221","Aurskog-Høland","2002","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2014","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2013","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2003","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2012","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2005","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2008","","02","Akershus","","07","Nedre Romerike"
"0221","Aurskog-Høland","2006","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2012","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2002","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2006","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2005","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2003","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2008","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2014","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0226","Sørum","2013","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2013","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2002","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2014","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2006","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2003","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2012","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2005","","02","Akershus","","07","Nedre Romerike"
"0227","Fet","2008","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2003","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2006","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2012","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2002","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2005","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2014","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2013","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","2008","","02","Akershus","","07","Nedre Romerike"
"0228","Rælingen","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0229","Enebakk","2005","","02","Akershus","","06","Follo"
"0229","Enebakk","2002","","02","Akershus","","06","Follo"
"0229","Enebakk","2006","","02","Akershus","","06","Follo"
"0229","Enebakk","2012","","02","Akershus","","06","Follo"
"0229","Enebakk","2014","","02","Akershus","","06","Follo"
"0229","Enebakk","komplett_2016","","02","Akershus","","06","Follo"
"0229","Enebakk","2008","","02","Akershus","","06","Follo"
"0229","Enebakk","2003","","02","Akershus","","06","Follo"
"0229","Enebakk","2013","","02","Akershus","","06","Follo"
"0230","Lørenskog","2008","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2006","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2003","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2002","Den 1.1. 1980 ble 3 personer overført fra 0230 Lørenskog kommune til 0231 Skedsmo kommune. Fra samme dato ble 36 personer overført fra Skedsmo til Lørenskog kommune.","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2012","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2014","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2013","","02","Akershus","","07","Nedre Romerike"
"0230","Lørenskog","2005","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2003","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2005","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2002","Den 1.1. 1980 ble 3 personer overført fra 0230 Lørenskog kommune til 0231 Skedsmo kommune. Fra samme dato ble 36 personer overført fra Skedsmo kommune til Lørenskog kommune og 53 personer fra Skedsmo kommune til 0301 Oslo kommune.","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2012","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2006","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2014","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2013","","02","Akershus","","07","Nedre Romerike"
"0231","Skedsmo","2008","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2003","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2012","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","komplett_2016","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2006","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2013","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2008","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2005","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2002","","02","Akershus","","07","Nedre Romerike"
"0233","Nittedal","2014","","02","Akershus","","07","Nedre Romerike"
"0234","Gjerdrum","2012","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2013","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2002","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2008","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2003","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2005","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","komplett_2016","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2014","","02","Akershus","","08","Øvre Romerike"
"0234","Gjerdrum","2006","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2012","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2006","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2002","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2013","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2014","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","komplett_2016","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2008","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2005","","02","Akershus","","08","Øvre Romerike"
"0235","Ullensaker","2003","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2006","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2012","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2013","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2002","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2003","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2005","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2008","","02","Akershus","","08","Øvre Romerike"
"0236","Nes (Ak.)","komplett_2016","","02","Akershus","","08","Øvre Romerike"
"0236","Nes","2014","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2013","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2014","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","komplett_2016","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2005","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2012","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2006","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2003","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2008","","02","Akershus","","08","Øvre Romerike"
"0237","Eidsvoll","2002","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2003","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2002","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2013","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2006","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","komplett_2016","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2005","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2012","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2008","","02","Akershus","","08","Øvre Romerike"
"0238","Nannestad","2014","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2012","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2006","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2013","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","komplett_2016","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2008","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2003","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2005","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2002","","02","Akershus","","08","Øvre Romerike"
"0239","Hurdal","2014","","02","Akershus","","08","Øvre Romerike"
"0299","Uoppgitt kommune Akershus","komplett_2016","","02","Akershus","",NA,NA
"0301","Oslo","2014","","03","Oslo","","09","Oslo"
"0301","Oslo","2012","","03","Oslo","","09","Oslo"
"0301","Oslo kommune","komplett_2016","","03","Oslo","","09","Oslo"
"0301","Oslo","2013","","03","Oslo","","09","Oslo"
"0301","Oslo","2002","Den 1.1. 1980 ble 53 personer overført fra 0231 Skedsmo kommune til 0301 Oslo kommune.","03","Oslo","","09","Oslo"
"0301","Oslo","2003","","03","Oslo","","09","Oslo"
"0301","Oslo","2005","","03","Oslo","","09","Oslo"
"0301","Oslo","2006","","03","Oslo","","09","Oslo"
"0301","Oslo","2008","","03","Oslo","","09","Oslo"
"0399","Uoppgitt komm. Oslo","komplett_2016","","03","Oslo","",NA,NA
"0401","Hamar (-1991)","komplett_2016","","04","Hedmark","",NA,NA
"0402","Kongsvinger","2014","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2008","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2012","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2002","Den 1.1. 1986 ble deler av Åbogen-området overført fra 0402 Kongsvinger kommune til 0420 Eidskog kommune (14 personer).","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2013","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","komplett_2016","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2005","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2006","","04","Hedmark","","11","Glåmdal"
"0402","Kongsvinger","2003","","04","Hedmark","","11","Glåmdal"
"0403","Hamar","2003","","04","Hedmark","","12","Hamarregionen"
"0403","Hamar","2005","","04","Hedmark","","12","Hamarregionen"
