Kommune nr & navn;kommune_nr;"Kommune
navn"
Nedbrytninger;;
;;
1841 Fauske;1841;Fauske
1842 Skjerstad (-2004);1842;Skjerstad (-2004)
1843 Bodin (-1967);1843;Bodin (-1967)
1845 Sørfold;1845;Sørfold
1848 Steigen;1848;Steigen
1849 Hábmer Hamarøy;1849;Hábmer Hamarøy
1850 Divtasvuodna Tysfjord;1850;Divtasvuodna Tysfjord
1851 Lødingen;1851;Lødingen
1852 Tjeldsund;1852;Tjeldsund
1853 Evenes;1853;Evenes
1854 Ballangen;1854;Ballangen
1855 Ankenes (-1973);1855;Ankenes (-1973)
1856 Røst;1856;Røst
1857 Værøy;1857;Værøy
1858 Moskenes (1916-1975);1858;Moskenes (1916-1975)
1859 Flakstad;1859;Flakstad
1860 Vestvågøy;1860;Vestvågøy
1865 Vågan;1865;Vågan
1866 Hadsel;1866;Hadsel
1867 Bø (Nordl.);1867;Bø (Nordl.)
1868 Øksnes;1868;Øksnes
1870 Sortland;1870;Sortland
1871 Andøy;1871;Andøy
1874 Moskenes;1874;Moskenes
1899 Uoppgitt kommune Nordland;1899;Uoppgitt kommune Nordland
1901 Harstad (-2012);1901;Harstad (-2012)
1902 Tromsø;1902;Tromsø
1903 Harstad;1903;Harstad
1911 Kvæfjord;1911;Kvæfjord
1913 Skånland;1913;Skånland
1915 Bjarkøy (-2012);1915;Bjarkøy (-2012)
1917 Ibestad;1917;Ibestad
1919 Gratangen;1919;Gratangen
1920 Lavangen;1920;Lavangen
1921 Salangen (-1977);1921;Salangen (-1977)
1922 Bardu;1922;Bardu
1923 Salangen;1923;Salangen
1924 Målselv;1924;Målselv
1925 Sørreisa;1925;Sørreisa
1926 Dyrøy;1926;Dyrøy
1927 Tranøy;1927;Tranøy
1928 Torsken;1928;Torsken
1929 Berg;1929;Berg
1931 Lenvik;1931;Lenvik
1933 Balsfjord;1933;Balsfjord
1936 Karlsøy;1936;Karlsøy
1938 Lyngen;1938;Lyngen
1939 Omasvuotna Storfjord Omasvuonon;1939;Omasvuotna Storfjord Omasvuonon
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord
1941 Skjervøy;1941;Skjervøy
1942 Nordreisa;1942;Nordreisa
1943 Kvænangen;1943;Kvænangen
1999 Uoppgitt kommune Troms;1999;Uoppgitt kommune Troms
2001 Hammerfest (-1991);2001;Hammerfest (-1991)
2002 Vardø;2002;Vardø
2003 Vadsø;2003;Vadsø
2004 Hammerfest;2004;Hammerfest
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino
2012 Alta;2012;Alta
2014 Loppa;2014;Loppa
2015 Hasvik;2015;Hasvik
2016 Sørøysund (-1991);2016;Sørøysund (-1991)
2017 Kvalsund;2017;Kvalsund
2018 Måsøy;2018;Måsøy
2019 Nordkapp;2019;Nordkapp
2020 Porsanger Porsángu Porsanki;2020;Porsanger Porsángu Porsanki
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok
2022 Lebesby;2022;Lebesby
2023 Gamvik;2023;Gamvik
2024 Berlevåg;2024;Berlevåg
2025 Deatnu Tana;2025;Deatnu Tana
2027 Unjárga Nesseby;2027;Unjárga Nesseby
2028 Båtsfjord;2028;Båtsfjord
2030 Sør-Varanger;2030;Sør-Varanger
2099 Uoppgitt kommune Finnmark;2099;Uoppgitt kommune Finnmark
2111 Longyearbyen;2111;Longyearbyen
2112 Ny-Ålesund;2112;Ny-Ålesund
2113 Barentsburg;2113;Barentsburg
2114 Hornsund;2114;Hornsund
