aar,bydel_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2009,030109,innvandrere,alle,450,arbledige_innvkat_land,personer
2009,030110,alle,1,54,arbledige_innvkat_land,personer
2009,030110,alle,2,370,arbledige_innvkat_land,personer
2009,030110,alle,alle,424,arbledige_innvkat_land,personer
2009,030110,innvandrere,1,54,arbledige_innvkat_land,personer
2009,030110,innvandrere,2,370,arbledige_innvkat_land,personer
2009,030110,innvandrere,alle,424,arbledige_innvkat_land,personer
2009,030111,alle,1,34,arbledige_innvkat_land,personer
2009,030111,alle,2,208,arbledige_innvkat_land,personer
2009,030111,alle,alle,242,arbledige_innvkat_land,personer
2009,030111,innvandrere,1,34,arbledige_innvkat_land,personer
2009,030111,innvandrere,2,208,arbledige_innvkat_land,personer
2009,030111,innvandrere,alle,242,arbledige_innvkat_land,personer
2009,030112,alle,1,55,arbledige_innvkat_land,personer
2009,030112,alle,2,129,arbledige_innvkat_land,personer
2009,030112,alle,alle,184,arbledige_innvkat_land,personer
2009,030112,innvandrere,1,55,arbledige_innvkat_land,personer
2009,030112,innvandrere,2,129,arbledige_innvkat_land,personer
2009,030112,innvandrere,alle,184,arbledige_innvkat_land,personer
2009,030113,alle,1,48,arbledige_innvkat_land,personer
2009,030113,alle,2,273,arbledige_innvkat_land,personer
2009,030113,alle,alle,321,arbledige_innvkat_land,personer
2009,030113,innvandrere,1,48,arbledige_innvkat_land,personer
2009,030113,innvandrere,2,273,arbledige_innvkat_land,personer
2009,030113,innvandrere,alle,321,arbledige_innvkat_land,personer
2009,030114,alle,1,21,arbledige_innvkat_land,personer
2009,030114,alle,2,172,arbledige_innvkat_land,personer
2009,030114,alle,alle,193,arbledige_innvkat_land,personer
2009,030114,innvandrere,1,21,arbledige_innvkat_land,personer
2009,030114,innvandrere,2,172,arbledige_innvkat_land,personer
2009,030114,innvandrere,alle,193,arbledige_innvkat_land,personer
2009,030115,alle,1,23,arbledige_innvkat_land,personer
2009,030115,alle,2,172,arbledige_innvkat_land,personer
2009,030115,alle,alle,195,arbledige_innvkat_land,personer
2009,030115,innvandrere,1,23,arbledige_innvkat_land,personer
2009,030115,innvandrere,2,172,arbledige_innvkat_land,personer
2009,030115,innvandrere,alle,195,arbledige_innvkat_land,personer
2009,030116,alle,1,14,arbledige_innvkat_land,personer
2009,030116,alle,2,135,arbledige_innvkat_land,personer
2009,030116,alle,alle,149,arbledige_innvkat_land,personer
2009,030116,innvandrere,1,14,arbledige_innvkat_land,personer
2009,030116,innvandrere,2,135,arbledige_innvkat_land,personer
2009,030116,innvandrere,alle,149,arbledige_innvkat_land,personer
2009,030117,alle,1,22,arbledige_innvkat_land,personer
2009,030117,alle,2,317,arbledige_innvkat_land,personer
2009,030117,alle,alle,339,arbledige_innvkat_land,personer
2009,030117,innvandrere,1,22,arbledige_innvkat_land,personer
2009,030117,innvandrere,2,317,arbledige_innvkat_land,personer
