aar,naringsregion_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,17,alle,alle,0,7,ikke_arbutd_innvkat_land,personer
2006,17,alle,alle,1,3,ikke_arbutd_innvkat_land,personer
2006,17,alle,alle,alle,10,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,1,0,0,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,1,alle,0,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,2,0,6,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,2,1,0,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,2,alle,8,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,alle,0,7,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,alle,1,3,ikke_arbutd_innvkat_land,personer
2006,17,innvandrere,alle,alle,10,ikke_arbutd_innvkat_land,personer
2006,18,alle,1,0,0,ikke_arbutd_innvkat_land,personer
2006,18,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,18,alle,1,alle,4,ikke_arbutd_innvkat_land,personer
2006,18,alle,2,0,8,ikke_arbutd_innvkat_land,personer
2006,18,alle,2,1,5,ikke_arbutd_innvkat_land,personer
2006,18,alle,2,alle,13,ikke_arbutd_innvkat_land,personer
2006,18,alle,alle,0,10,ikke_arbutd_innvkat_land,personer
2006,18,alle,alle,1,7,ikke_arbutd_innvkat_land,personer
2006,18,alle,alle,alle,17,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,1,0,0,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,1,alle,4,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,2,0,8,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,2,1,5,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,2,alle,13,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,alle,0,10,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,alle,1,7,ikke_arbutd_innvkat_land,personer
2006,18,innvandrere,alle,alle,17,ikke_arbutd_innvkat_land,personer
2006,19,alle,1,0,4,ikke_arbutd_innvkat_land,personer
2006,19,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,19,alle,1,alle,6,ikke_arbutd_innvkat_land,personer
2006,19,alle,2,0,10,ikke_arbutd_innvkat_land,personer
2006,19,alle,2,1,6,ikke_arbutd_innvkat_land,personer
2006,19,alle,2,alle,16,ikke_arbutd_innvkat_land,personer
2006,19,alle,alle,0,14,ikke_arbutd_innvkat_land,personer
2006,19,alle,alle,1,8,ikke_arbutd_innvkat_land,personer
2006,19,alle,alle,alle,22,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,1,0,4,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,1,alle,6,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,2,0,10,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,2,1,6,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,2,alle,16,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,alle,0,14,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,alle,1,8,ikke_arbutd_innvkat_land,personer
2006,19,innvandrere,alle,alle,22,ikke_arbutd_innvkat_land,personer
2006,20,alle,1,0,76,ikke_arbutd_innvkat_land,personer
2006,20,alle,1,1,36,ikke_arbutd_innvkat_land,personer
2006,20,alle,1,alle,112,ikke_arbutd_innvkat_land,personer
2006,20,alle,2,0,267,ikke_arbutd_innvkat_land,personer
2006,20,alle,2,1,213,ikke_arbutd_innvkat_land,personer
2006,20,alle,2,alle,480,ikke_arbutd_innvkat_land,personer
2006,20,alle,alle,0,343,ikke_arbutd_innvkat_land,personer
2006,20,alle,alle,1,249,ikke_arbutd_innvkat_land,personer
2006,20,alle,alle,alle,592,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,1,0,76,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,1,1,36,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,1,alle,112,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,2,0,267,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,2,1,213,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,2,alle,480,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,alle,0,343,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,alle,1,249,ikke_arbutd_innvkat_land,personer
2006,20,innvandrere,alle,alle,592,ikke_arbutd_innvkat_land,personer
2006,21,alle,1,0,16,ikke_arbutd_innvkat_land,personer
2006,21,alle,1,1,5,ikke_arbutd_innvkat_land,personer
2006,21,alle,1,alle,21,ikke_arbutd_innvkat_land,personer
2006,21,alle,2,0,20,ikke_arbutd_innvkat_land,personer
2006,21,alle,2,1,10,ikke_arbutd_innvkat_land,personer
2006,21,alle,2,alle,30,ikke_arbutd_innvkat_land,personer
2006,21,alle,alle,0,36,ikke_arbutd_innvkat_land,personer
2006,21,alle,alle,1,15,ikke_arbutd_innvkat_land,personer
2006,21,alle,alle,alle,51,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,1,0,16,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,1,1,5,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,1,alle,21,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,2,0,20,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,2,1,10,ikke_arbutd_innvkat_land,personer
2006,21,innvandrere,2,alle,30,ikke_arbutd_innvkat_land,personer
