aar,bydel_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,030114,alle,1,1,5,ikke_arbutd_innvkat_land,personer
2006,030114,alle,1,alle,18,ikke_arbutd_innvkat_land,personer
2006,030114,alle,2,0,39,ikke_arbutd_innvkat_land,personer
2006,030114,alle,2,1,51,ikke_arbutd_innvkat_land,personer
2006,030114,alle,2,alle,90,ikke_arbutd_innvkat_land,personer
2006,030114,alle,alle,0,52,ikke_arbutd_innvkat_land,personer
2006,030114,alle,alle,1,56,ikke_arbutd_innvkat_land,personer
2006,030114,alle,alle,alle,108,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,1,0,13,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,1,1,5,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,1,alle,18,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,2,0,39,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,2,1,51,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,2,alle,90,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,alle,0,52,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,alle,1,56,ikke_arbutd_innvkat_land,personer
2006,030114,innvandrere,alle,alle,108,ikke_arbutd_innvkat_land,personer
2006,030115,alle,1,0,12,ikke_arbutd_innvkat_land,personer
2006,030115,alle,1,1,5,ikke_arbutd_innvkat_land,personer
2006,030115,alle,1,alle,17,ikke_arbutd_innvkat_land,personer
2006,030115,alle,2,0,46,ikke_arbutd_innvkat_land,personer
2006,030115,alle,2,1,45,ikke_arbutd_innvkat_land,personer
2006,030115,alle,2,alle,91,ikke_arbutd_innvkat_land,personer
2006,030115,alle,alle,0,58,ikke_arbutd_innvkat_land,personer
2006,030115,alle,alle,1,50,ikke_arbutd_innvkat_land,personer
2006,030115,alle,alle,alle,108,ikke_arbutd_innvkat_land,personer
2006,030115,innvandrere,1,0,12,ikke_arbutd_innvkat_land,personer
