aar,naringsregion_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,69,innvandrere,2,25,arbledige_innvkat_land,personer
2006,69,innvandrere,alle,30,arbledige_innvkat_land,personer
2006,70,alle,1,0,arbledige_innvkat_land,personer
2006,70,alle,2,0,arbledige_innvkat_land,personer
2006,70,alle,alle,0,arbledige_innvkat_land,personer
2006,70,innvandrere,1,0,arbledige_innvkat_land,personer
2006,70,innvandrere,2,0,arbledige_innvkat_land,personer
2006,70,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,71,alle,1,0,arbledige_innvkat_land,personer
2006,71,alle,2,21,arbledige_innvkat_land,personer
2006,71,alle,alle,22,arbledige_innvkat_land,personer
2006,71,innvandrere,1,0,arbledige_innvkat_land,personer
2006,71,innvandrere,2,21,arbledige_innvkat_land,personer
2006,71,innvandrere,alle,22,arbledige_innvkat_land,personer
2006,72,alle,1,9,arbledige_innvkat_land,personer
2006,72,alle,2,43,arbledige_innvkat_land,personer
2006,72,alle,alle,52,arbledige_innvkat_land,personer
2006,72,innvandrere,1,9,arbledige_innvkat_land,personer
2006,72,innvandrere,2,43,arbledige_innvkat_land,personer
2006,72,innvandrere,alle,52,arbledige_innvkat_land,personer
2006,73,alle,1,22,arbledige_innvkat_land,personer
2006,73,alle,2,90,arbledige_innvkat_land,personer
2006,73,alle,alle,112,arbledige_innvkat_land,personer
2006,73,innvandrere,1,22,arbledige_innvkat_land,personer
2006,73,innvandrere,2,90,arbledige_innvkat_land,personer
2006,73,innvandrere,alle,112,arbledige_innvkat_land,personer
2006,74,alle,1,12,arbledige_innvkat_land,personer
2006,74,alle,2,38,arbledige_innvkat_land,personer
2006,74,alle,alle,50,arbledige_innvkat_land,personer
2006,74,innvandrere,1,12,arbledige_innvkat_land,personer
2006,74,innvandrere,2,38,arbledige_innvkat_land,personer
2006,74,innvandrere,alle,50,arbledige_innvkat_land,personer
2006,75,alle,1,12,arbledige_innvkat_land,personer
2006,75,alle,2,42,arbledige_innvkat_land,personer
2006,75,alle,alle,54,arbledige_innvkat_land,personer
2006,75,innvandrere,1,12,arbledige_innvkat_land,personer
