aar,fylke_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2009,09,alle,2,308,arbledige_innvkat_land,personer
2009,09,alle,alle,509,arbledige_innvkat_land,personer
2009,09,innvandrere,1,201,arbledige_innvkat_land,personer
2009,09,innvandrere,2,308,arbledige_innvkat_land,personer
2009,09,innvandrere,alle,509,arbledige_innvkat_land,personer
2009,10,alle,1,293,arbledige_innvkat_land,personer
2009,10,alle,2,572,arbledige_innvkat_land,personer
2009,10,alle,alle,865,arbledige_innvkat_land,personer
2009,10,innvandrere,1,293,arbledige_innvkat_land,personer
2009,10,innvandrere,2,572,arbledige_innvkat_land,personer
2009,10,innvandrere,alle,865,arbledige_innvkat_land,personer
2009,11,alle,1,812,arbledige_innvkat_land,personer
2009,11,alle,2,1105,arbledige_innvkat_land,personer
2009,11,alle,alle,1917,arbledige_innvkat_land,personer
2009,11,innvandrere,1,812,arbledige_innvkat_land,personer
2009,11,innvandrere,2,1105,arbledige_innvkat_land,personer
2009,11,innvandrere,alle,1917,arbledige_innvkat_land,personer
2009,12,alle,1,737,arbledige_innvkat_land,personer
2009,12,alle,2,1116,arbledige_innvkat_land,personer
2009,12,alle,alle,1853,arbledige_innvkat_land,personer
2009,12,innvandrere,1,737,arbledige_innvkat_land,personer
2009,12,innvandrere,2,1116,arbledige_innvkat_land,personer
2009,12,innvandrere,alle,1853,arbledige_innvkat_land,personer
2009,14,alle,1,124,arbledige_innvkat_land,personer
2009,14,alle,2,113,arbledige_innvkat_land,personer
2009,14,alle,alle,237,arbledige_innvkat_land,personer
2009,14,innvandrere,1,124,arbledige_innvkat_land,personer
2009,14,innvandrere,2,113,arbledige_innvkat_land,personer
2009,14,innvandrere,alle,237,arbledige_innvkat_land,personer
2009,15,alle,1,374,arbledige_innvkat_land,personer
2009,15,alle,2,402,arbledige_innvkat_land,personer
2009,15,alle,alle,776,arbledige_innvkat_land,personer
2009,15,innvandrere,1,374,arbledige_innvkat_land,personer
2009,15,innvandrere,2,402,arbledige_innvkat_land,personer
2009,15,innvandrere,alle,776,arbledige_innvkat_land,personer
