aar,naringsregion_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,50,alle,1,8824,sysselsatte_kjonn_land,personer
2006,50,alle,alle,16553,sysselsatte_kjonn_land,personer
2006,51,1,0,138,sysselsatte_kjonn_land,personer
2006,51,1,1,180,sysselsatte_kjonn_land,personer
2006,51,1,alle,318,sysselsatte_kjonn_land,personer
2006,51,2,0,188,sysselsatte_kjonn_land,personer
2006,51,2,1,203,sysselsatte_kjonn_land,personer
2006,51,2,alle,391,sysselsatte_kjonn_land,personer
2006,51,alle,0,7934,sysselsatte_kjonn_land,personer
2006,51,alle,1,8699,sysselsatte_kjonn_land,personer
2006,51,alle,alle,16633,sysselsatte_kjonn_land,personer
2006,52,1,0,224,sysselsatte_kjonn_land,personer
2006,52,1,1,266,sysselsatte_kjonn_land,personer
2006,52,1,alle,490,sysselsatte_kjonn_land,personer
2006,52,2,0,286,sysselsatte_kjonn_land,personer
2006,52,2,1,251,sysselsatte_kjonn_land,personer
2006,52,2,alle,537,sysselsatte_kjonn_land,personer
2006,52,alle,0,13612,sysselsatte_kjonn_land,personer
2006,52,alle,1,16225,sysselsatte_kjonn_land,personer
2006,52,alle,alle,29837,sysselsatte_kjonn_land,personer
2006,53,1,0,243,sysselsatte_kjonn_land,personer
2006,53,1,1,337,sysselsatte_kjonn_land,personer
2006,53,1,alle,580,sysselsatte_kjonn_land,personer
2006,53,2,0,320,sysselsatte_kjonn_land,personer
2006,53,2,1,193,sysselsatte_kjonn_land,personer
