tabell_navn;aar;kommune_nr;botid_5;vreg_3;enhet;tabellvariabel
Befolkning_botid;2015;0811;0_4;alle;person;65
Befolkning_botid;2015;0811;5_9;alle;person;37
Befolkning_botid;2015;0811;10+;alle;person;44
Befolkning_botid;2015;0814;0_4;alle;person;417
Befolkning_botid;2015;0814;5_9;alle;person;298
Befolkning_botid;2015;0814;10+;alle;person;320
Befolkning_botid;2015;0815;0_4;alle;person;393
Befolkning_botid;2015;0815;5_9;alle;person;242
Befolkning_botid;2015;0815;10+;alle;person;333
Befolkning_botid;2015;0817;0_4;alle;person;124
Befolkning_botid;2015;0817;5_9;alle;person;109
Befolkning_botid;2015;0817;10+;alle;person;76
Befolkning_botid;2015;0819;0_4;alle;person;297
Befolkning_botid;2015;0819;5_9;alle;person;168
Befolkning_botid;2015;0819;10+;alle;person;213
Befolkning_botid;2015;0821;0_4;alle;person;320
Befolkning_botid;2015;0821;5_9;alle;person;132
Befolkning_botid;2015;0821;10+;alle;person;178
Befolkning_botid;2015;0822;0_4;alle;person;217
Befolkning_botid;2015;0822;5_9;alle;person;76
Befolkning_botid;2015;0822;10+;alle;person;114
Befolkning_botid;2015;0826;0_4;alle;person;242
Befolkning_botid;2015;0826;5_9;alle;person;91
Befolkning_botid;2015;0826;10+;alle;person;257
Befolkning_botid;2015;0827;0_4;alle;person;61
Befolkning_botid;2015;0827;5_9;alle;person;9
Befolkning_botid;2015;0827;10+;alle;person;17
Befolkning_botid;2015;0828;0_4;alle;person;117
Befolkning_botid;2015;0828;5_9;alle;person;69
Befolkning_botid;2015;0828;10+;alle;person;53
Befolkning_botid;2015;0829;0_4;alle;person;54
Befolkning_botid;2015;0829;5_9;alle;person;67
Befolkning_botid;2015;0829;10+;alle;person;62
Befolkning_botid;2015;0830;0_4;alle;person;46
Befolkning_botid;2015;0830;5_9;alle;person;47
Befolkning_botid;2015;0830;10+;alle;person;25
Befolkning_botid;2015;0831;0_4;alle;person;46
Befolkning_botid;2015;0831;5_9;alle;person;29
Befolkning_botid;2015;0831;10+;alle;person;50
Befolkning_botid;2015;0833;0_4;alle;person;30
Befolkning_botid;2015;0833;5_9;alle;person;40
Befolkning_botid;2015;0833;10+;alle;person;59
Befolkning_botid;2015;0834;0_4;alle;person;139
Befolkning_botid;2015;0834;5_9;alle;person;50
Befolkning_botid;2015;0834;10+;alle;person;97
Befolkning_botid;2015;0901;0_4;alle;person;278
Befolkning_botid;2015;0901;5_9;alle;person;163
Befolkning_botid;2015;0901;10+;alle;person;223
Befolkning_botid;2015;0904;0_4;alle;person;997
Befolkning_botid;2015;0904;5_9;alle;person;603
Befolkning_botid;2015;0904;10+;alle;person;829
Befolkning_botid;2015;0906;0_4;alle;person;1785
Befolkning_botid;2015;0906;5_9;alle;person;1198
Befolkning_botid;2015;0906;10+;alle;person;1915
Befolkning_botid;2015;0911;0_4;alle;person;95
Befolkning_botid;2015;0911;5_9;alle;person;44
Befolkning_botid;2015;0911;10+;alle;person;52
Befolkning_botid;2015;0912;0_4;alle;person;62
Befolkning_botid;2015;0912;5_9;alle;person;42
Befolkning_botid;2015;0912;10+;alle;person;45
Befolkning_botid;2015;0914;0_4;alle;person;176
Befolkning_botid;2015;0914;5_9;alle;person;204
Befolkning_botid;2015;0914;10+;alle;person;178
Befolkning_botid;2015;0919;0_4;alle;person;122
Befolkning_botid;2015;0919;5_9;alle;person;144
Befolkning_botid;2015;0919;10+;alle;person;128
Befolkning_botid;2015;0926;0_4;alle;person;339
Befolkning_botid;2015;0926;5_9;alle;person;194
Befolkning_botid;2015;0926;10+;alle;person;383
Befolkning_botid;2015;0928;0_4;alle;person;147
Befolkning_botid;2015;0928;5_9;alle;person;116
Befolkning_botid;2015;0928;10+;alle;person;175
Befolkning_botid;2015;0929;0_4;alle;person;83
Befolkning_botid;2015;0929;5_9;alle;person;80
Befolkning_botid;2015;0929;10+;alle;person;58
Befolkning_botid;2015;0935;0_4;alle;person;35
Befolkning_botid;2015;0935;5_9;alle;person;55
Befolkning_botid;2015;0935;10+;alle;person;40
Befolkning_botid;2015;0937;0_4;alle;person;111
Befolkning_botid;2015;0937;5_9;alle;person;120
Befolkning_botid;2015;0937;10+;alle;person;155
Befolkning_botid;2015;0938;0_4;alle;person;20
Befolkning_botid;2015;0938;5_9;alle;person;21
Befolkning_botid;2015;0938;10+;alle;person;24
Befolkning_botid;2015;0940;0_4;alle;person;45
Befolkning_botid;2015;0940;5_9;alle;person;54
Befolkning_botid;2015;0940;10+;alle;person;17
Befolkning_botid;2015;0941;0_4;alle;person;63
Befolkning_botid;2015;0941;5_9;alle;person;53
Befolkning_botid;2015;0941;10+;alle;person;40
Befolkning_botid;2015;1001;0_4;alle;person;3685
Befolkning_botid;2015;1001;5_9;alle;person;2564
Befolkning_botid;2015;1001;10+;alle;person;5773
Befolkning_botid;2015;1002;0_4;alle;person;603
Befolkning_botid;2015;1002;5_9;alle;person;394
Befolkning_botid;2015;1002;10+;alle;person;509
Befolkning_botid;2015;1003;0_4;alle;person;328
Befolkning_botid;2015;1003;5_9;alle;person;132
Befolkning_botid;2015;1003;10+;alle;person;307
Befolkning_botid;2015;1004;0_4;alle;person;308
Befolkning_botid;2015;1004;5_9;alle;person;245
Befolkning_botid;2015;1004;10+;alle;person;386
Befolkning_botid;2015;1014;0_4;alle;person;396
Befolkning_botid;2015;1014;5_9;alle;person;300
Befolkning_botid;2015;1014;10+;alle;person;451
Befolkning_botid;2015;1017;0_4;alle;person;245
Befolkning_botid;2015;1017;5_9;alle;person;256
Befolkning_botid;2015;1017;10+;alle;person;294
Befolkning_botid;2015;1018;0_4;alle;person;363
Befolkning_botid;2015;1018;5_9;alle;person;241
Befolkning_botid;2015;1018;10+;alle;person;332
Befolkning_botid;2015;1021;0_4;alle;person;64
Befolkning_botid;2015;1021;5_9;alle;person;60
Befolkning_botid;2015;1021;10+;alle;person;54
Befolkning_botid;2015;1026;0_4;alle;person;29
Befolkning_botid;2015;1026;5_9;alle;person;53
Befolkning_botid;2015;1026;10+;alle;person;14
Befolkning_botid;2015;1027;0_4;alle;person;51
Befolkning_botid;2015;1027;5_9;alle;person;50
Befolkning_botid;2015;1027;10+;alle;person;23
Befolkning_botid;2015;1029;0_4;alle;person;178
Befolkning_botid;2015;1029;5_9;alle;person;151
Befolkning_botid;2015;1029;10+;alle;person;173
Befolkning_botid;2015;1032;0_4;alle;person;396
Befolkning_botid;2015;1032;5_9;alle;person;212
Befolkning_botid;2015;1032;10+;alle;person;319
Befolkning_botid;2015;1034;0_4;alle;person;52
Befolkning_botid;2015;1034;5_9;alle;person;35
Befolkning_botid;2015;1034;10+;alle;person;22
Befolkning_botid;2015;1037;0_4;alle;person;225
Befolkning_botid;2015;1037;5_9;alle;person;164
Befolkning_botid;2015;1037;10+;alle;person;142
Befolkning_botid;2015;1046;0_4;alle;person;73
Befolkning_botid;2015;1046;5_9;alle;person;79
Befolkning_botid;2015;1046;10+;alle;person;41
Befolkning_botid;2015;1101;0_4;alle;person;709
Befolkning_botid;2015;1101;5_9;alle;person;499
Befolkning_botid;2015;1101;10+;alle;person;411
Befolkning_botid;2015;1102;0_4;alle;person;5025
Befolkning_botid;2015;1102;5_9;alle;person;3326
Befolkning_botid;2015;1102;10+;alle;person;4040
Befolkning_botid;2015;1103;0_4;alle;person;10961
Befolkning_botid;2015;1103;5_9;alle;person;5304
Befolkning_botid;2015;1103;10+;alle;person;8270
