kommune_nr,aar,enhet,tabell_navn,tilskudd_til_kommuner,tabellvariabel
1665,2015,kroner,tilskudd,barnehage_tilsk,23400
1702,2015,kroner,tilskudd,barnehage_tilsk,0
1703,2015,kroner,tilskudd,barnehage_tilsk,72200
1711,2015,kroner,tilskudd,barnehage_tilsk,73200
1714,2015,kroner,tilskudd,barnehage_tilsk,327600
1717,2015,kroner,tilskudd,barnehage_tilsk,0
1718,2015,kroner,tilskudd,barnehage_tilsk,0
1719,2015,kroner,tilskudd,barnehage_tilsk,146400
1721,2015,kroner,tilskudd,barnehage_tilsk,47800
1724,2015,kroner,tilskudd,barnehage_tilsk,0
1725,2015,kroner,tilskudd,barnehage_tilsk,0
1736,2015,kroner,tilskudd,barnehage_tilsk,0
1738,2015,kroner,tilskudd,barnehage_tilsk,23400
1739,2015,kroner,tilskudd,barnehage_tilsk,0
1740,2015,kroner,tilskudd,barnehage_tilsk,0
1742,2015,kroner,tilskudd,barnehage_tilsk,72200
1743,2015,kroner,tilskudd,barnehage_tilsk,0
1744,2015,kroner,tilskudd,barnehage_tilsk,48800
1748,2015,kroner,tilskudd,barnehage_tilsk,0
1749,2015,kroner,tilskudd,barnehage_tilsk,0
1750,2015,kroner,tilskudd,barnehage_tilsk,0
1751,2015,kroner,tilskudd,barnehage_tilsk,97600
1755,2015,kroner,tilskudd,barnehage_tilsk,0
1756,2015,kroner,tilskudd,barnehage_tilsk,0
1804,2015,kroner,tilskudd,barnehage_tilsk,511400
1805,2015,kroner,tilskudd,barnehage_tilsk,190500
1811,2015,kroner,tilskudd,barnehage_tilsk,0
1812,2015,kroner,tilskudd,barnehage_tilsk,0
1813,2015,kroner,tilskudd,barnehage_tilsk,73200
1815,2015,kroner,tilskudd,barnehage_tilsk,0
1816,2015,kroner,tilskudd,barnehage_tilsk,93600
1818,2015,kroner,tilskudd,barnehage_tilsk,0
1820,2015,kroner,tilskudd,barnehage_tilsk,73200
1822,2015,kroner,tilskudd,barnehage_tilsk,218600
1824,2015,kroner,tilskudd,barnehage_tilsk,73200
1825,2015,kroner,tilskudd,barnehage_tilsk,0
1826,2015,kroner,tilskudd,barnehage_tilsk,0
1827,2015,kroner,tilskudd,barnehage_tilsk,0
1828,2015,kroner,tilskudd,barnehage_tilsk,46800
1832,2015,kroner,tilskudd,barnehage_tilsk,0
1833,2015,kroner,tilskudd,barnehage_tilsk,46800
1834,2015,kroner,tilskudd,barnehage_tilsk,0
1835,2015,kroner,tilskudd,barnehage_tilsk,0
1836,2015,kroner,tilskudd,barnehage_tilsk,0
1837,2015,kroner,tilskudd,barnehage_tilsk,121000
1838,2015,kroner,tilskudd,barnehage_tilsk,73200
1839,2015,kroner,tilskudd,barnehage_tilsk,73200
1840,2015,kroner,tilskudd,barnehage_tilsk,24400
1841,2015,kroner,tilskudd,barnehage_tilsk,146400
1845,2015,kroner,tilskudd,barnehage_tilsk,0
1848,2015,kroner,tilskudd,barnehage_tilsk,0
1849,2015,kroner,tilskudd,barnehage_tilsk,94600
1850,2015,kroner,tilskudd,barnehage_tilsk,0
1851,2015,kroner,tilskudd,barnehage_tilsk,46800
1852,2015,kroner,tilskudd,barnehage_tilsk,0
1853,2015,kroner,tilskudd,barnehage_tilsk,0
1854,2015,kroner,tilskudd,barnehage_tilsk,24400
1856,2015,kroner,tilskudd,barnehage_tilsk,0
1857,2015,kroner,tilskudd,barnehage_tilsk,0
1859,2015,kroner,tilskudd,barnehage_tilsk,0
1860,2015,kroner,tilskudd,barnehage_tilsk,167800
1865,2015,kroner,tilskudd,barnehage_tilsk,241000
1866,2015,kroner,tilskudd,barnehage_tilsk,121000
1867,2015,kroner,tilskudd,barnehage_tilsk,95600
1868,2015,kroner,tilskudd,barnehage_tilsk,24400
1870,2015,kroner,tilskudd,barnehage_tilsk,195200
1871,2015,kroner,tilskudd,barnehage_tilsk,145400
1874,2015,kroner,tilskudd,barnehage_tilsk,0
1902,2015,kroner,tilskudd,barnehage_tilsk,289800
1903,2015,kroner,tilskudd,barnehage_tilsk,291800
1911,2015,kroner,tilskudd,barnehage_tilsk,24400
1913,2015,kroner,tilskudd,barnehage_tilsk,0
1917,2015,kroner,tilskudd,barnehage_tilsk,0
1919,2015,kroner,tilskudd,barnehage_tilsk,24400
