"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"58","anmodning","prosent","100","bosatt_anmodede","2014"
"59","anmodning","prosent","100","bosatt_anmodede","2014"
"60","anmodning","prosent","100","bosatt_anmodede","2014"
"61","anmodning","prosent","100","bosatt_anmodede","2014"
"62","anmodning","prosent","100","bosatt_anmodede","2014"
"63","anmodning","prosent","100","bosatt_anmodede","2014"
"64","anmodning","prosent","100","bosatt_anmodede","2014"
"65","anmodning","prosent","100","bosatt_anmodede","2014"
"66","anmodning","prosent","100","bosatt_anmodede","2014"
"67","anmodning","prosent","100","bosatt_anmodede","2014"
"68","anmodning","prosent","100","bosatt_anmodede","2014"
"69","anmodning","prosent","100","bosatt_anmodede","2014"
"70","anmodning","prosent","100","bosatt_anmodede","2014"
"71","anmodning","prosent","100","bosatt_anmodede","2014"
"72","anmodning","prosent","100","bosatt_anmodede","2014"
"73","anmodning","prosent","100","bosatt_anmodede","2014"
"74","anmodning","prosent","100","bosatt_anmodede","2014"
"75","anmodning","prosent","100","bosatt_anmodede","2014"
"76","anmodning","prosent","100","bosatt_anmodede","2014"
"77","anmodning","prosent","100","bosatt_anmodede","2014"
"78","anmodning","prosent","100","bosatt_anmodede","2014"
"79","anmodning","prosent","100","bosatt_anmodede","2014"
"80","anmodning","prosent","100","bosatt_anmodede","2014"
"81","anmodning","prosent","100","bosatt_anmodede","2014"
"82","anmodning","prosent","100","bosatt_anmodede","2014"
"83","anmodning","prosent","100","bosatt_anmodede","2014"
"99","anmodning","prosent",".","bosatt_anmodede","2014"
"01","vedtak","prosent","60","bosatt_anmodede","2014"
"02","vedtak","prosent","37.037037037037","bosatt_anmodede","2014"
"03","vedtak","prosent","50","bosatt_anmodede","2014"
"04","vedtak","prosent","85.1428571428571","bosatt_anmodede","2014"
"05","vedtak","prosent","87.2340425531915","bosatt_anmodede","2014"
"06","vedtak","prosent","81.1224489795918","bosatt_anmodede","2014"
"07","vedtak","prosent","82.9493087557604","bosatt_anmodede","2014"
"08","vedtak","prosent","77.3109243697479","bosatt_anmodede","2014"
"09","vedtak","prosent","100","bosatt_anmodede","2014"
"10","vedtak","prosent","72","bosatt_anmodede","2014"
"11","vedtak","prosent","49.5238095238095","bosatt_anmodede","2014"
"12","vedtak","prosent","64.5714285714286","bosatt_anmodede","2014"
"13","vedtak","prosent","71.5789473684211","bosatt_anmodede","2014"
"14","vedtak","prosent","85.7142857142857","bosatt_anmodede","2014"
"15","vedtak","prosent","90","bosatt_anmodede","2014"
"16","vedtak","prosent","88.2352941176471","bosatt_anmodede","2014"
"17","vedtak","prosent","75","bosatt_anmodede","2014"
"18","vedtak","prosent","70.1492537313433","bosatt_anmodede","2014"
"19","vedtak","prosent","58.4615384615385","bosatt_anmodede","2014"
"20","vedtak","prosent","71.8840579710145","bosatt_anmodede","2014"
"21","vedtak","prosent","61.1764705882353","bosatt_anmodede","2014"
"22","vedtak","prosent","63.75","bosatt_anmodede","2014"
"23","vedtak","prosent","47.2727272727273","bosatt_anmodede","2014"
"24","vedtak","prosent","92.3076923076923","bosatt_anmodede","2014"
"25","vedtak","prosent","70.8695652173913","bosatt_anmodede","2014"
"26","vedtak","prosent","100","bosatt_anmodede","2014"
"27","vedtak","prosent","65.5384615384615","bosatt_anmodede","2014"
"28","vedtak","prosent","73.8461538461539","bosatt_anmodede","2014"
"29","vedtak","prosent","86.25","bosatt_anmodede","2014"
"30","vedtak","prosent","54.2857142857143","bosatt_anmodede","2014"
"31","vedtak","prosent","66.6666666666667","bosatt_anmodede","2014"
"32","vedtak","prosent","80.377358490566","bosatt_anmodede","2014"
"33","vedtak","prosent","62.5","bosatt_anmodede","2014"
"34","vedtak","prosent","75","bosatt_anmodede","2014"
"35","vedtak","prosent","87.3684210526316","bosatt_anmodede","2014"
"36","vedtak","prosent","81.25","bosatt_anmodede","2014"
"37","vedtak","prosent","59.2592592592593","bosatt_anmodede","2014"
"38","vedtak","prosent","44.8979591836735","bosatt_anmodede","2014"
"39","vedtak","prosent","80.607476635514","bosatt_anmodede","2014"
"40","vedtak","prosent","100","bosatt_anmodede","2014"
"41","vedtak","prosent","40","bosatt_anmodede","2014"
"42","vedtak","prosent","50","bosatt_anmodede","2014"
"43","vedtak","prosent","100","bosatt_anmodede","2014"
"44","vedtak","prosent","50.4854368932039","bosatt_anmodede","2014"
"45","vedtak","prosent","34.2105263157895","bosatt_anmodede","2014"
"46","vedtak","prosent","67.3333333333333","bosatt_anmodede","2014"
"47","vedtak","prosent","60.8695652173913","bosatt_anmodede","2014"
"48","vedtak","prosent","56.25","bosatt_anmodede","2014"
"49","vedtak","prosent","77.9661016949153","bosatt_anmodede","2014"
"50","vedtak","prosent","81.4814814814815","bosatt_anmodede","2014"
"51","vedtak","prosent","68.5714285714286","bosatt_anmodede","2014"
"52","vedtak","prosent","77.3684210526316","bosatt_anmodede","2014"
"53","vedtak","prosent","51.6129032258064","bosatt_anmodede","2014"
"54","vedtak","prosent","31.6666666666667","bosatt_anmodede","2014"
"55","vedtak","prosent","60.6666666666667","bosatt_anmodede","2014"
"56","vedtak","prosent","58.8888888888889","bosatt_anmodede","2014"
"57","vedtak","prosent","65.5555555555556","bosatt_anmodede","2014"
"58","vedtak","prosent","83.3333333333333","bosatt_anmodede","2014"
"59","vedtak","prosent","100","bosatt_anmodede","2014"
"60","vedtak","prosent","50","bosatt_anmodede","2014"
"61","vedtak","prosent","85.6470588235294","bosatt_anmodede","2014"
"62","vedtak","prosent","42.8571428571429","bosatt_anmodede","2014"
"63","vedtak","prosent","92.8571428571429","bosatt_anmodede","2014"
"64","vedtak","prosent","89.0322580645161","bosatt_anmodede","2014"
"65","vedtak","prosent","53.8461538461538","bosatt_anmodede","2014"
"66","vedtak","prosent","77.7777777777778","bosatt_anmodede","2014"
"67","vedtak","prosent","62.5","bosatt_anmodede","2014"
"68","vedtak","prosent","46.25","bosatt_anmodede","2014"
