tabell_navn;aar;kommune_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;0516;2;alle;person;147;
befolkning_verdensregion;2015;0516;1;1;person;116;
befolkning_verdensregion;2015;0516;2;1;person;62;
befolkning_verdensregion;2015;0516;1;0;person;80;
befolkning_verdensregion;2015;0516;2;0;person;85;
befolkning_verdensregion;2015;0517;1;alle;person;127;
befolkning_verdensregion;2015;0517;2;alle;person;221;
befolkning_verdensregion;2015;0517;1;1;person;76;
befolkning_verdensregion;2015;0517;2;1;person;123;
befolkning_verdensregion;2015;0517;1;0;person;51;
befolkning_verdensregion;2015;0517;2;0;person;98;
befolkning_verdensregion;2015;0519;1;alle;person;183;
befolkning_verdensregion;2015;0519;2;alle;person;54;
befolkning_verdensregion;2015;0519;1;1;person;118;
befolkning_verdensregion;2015;0519;2;1;person;23;
befolkning_verdensregion;2015;0519;1;0;person;65;
befolkning_verdensregion;2015;0519;2;0;person;31;
befolkning_verdensregion;2015;0520;1;alle;person;262;
befolkning_verdensregion;2015;0520;2;alle;person;114;
befolkning_verdensregion;2015;0520;1;1;person;151;
befolkning_verdensregion;2015;0520;2;1;person;57;
befolkning_verdensregion;2015;0520;1;0;person;111;
befolkning_verdensregion;2015;0520;2;0;person;57;
befolkning_verdensregion;2015;0521;1;alle;person;324;
befolkning_verdensregion;2015;0521;2;alle;person;214;
befolkning_verdensregion;2015;0521;1;1;person;192;
befolkning_verdensregion;2015;0521;2;1;person;105;
befolkning_verdensregion;2015;0521;1;0;person;132;
befolkning_verdensregion;2015;0521;2;0;person;109;
befolkning_verdensregion;2015;0522;1;alle;person;232;
befolkning_verdensregion;2015;0522;2;alle;person;108;
befolkning_verdensregion;2015;0522;1;1;person;142;
befolkning_verdensregion;2015;0522;2;1;person;44;
befolkning_verdensregion;2015;0522;1;0;person;90;
befolkning_verdensregion;2015;0522;2;0;person;64;
befolkning_verdensregion;2015;0528;1;alle;person;688;
befolkning_verdensregion;2015;0528;2;alle;person;421;
befolkning_verdensregion;2015;0528;1;1;person;398;
befolkning_verdensregion;2015;0528;2;1;person;200;
befolkning_verdensregion;2015;0528;1;0;person;290;
befolkning_verdensregion;2015;0528;2;0;person;221;
befolkning_verdensregion;2015;0529;1;alle;person;393;
befolkning_verdensregion;2015;0529;2;alle;person;510;
befolkning_verdensregion;2015;0529;1;1;person;235;
befolkning_verdensregion;2015;0529;2;1;person;215;
befolkning_verdensregion;2015;0529;1;0;person;158;
befolkning_verdensregion;2015;0529;2;0;person;295;
befolkning_verdensregion;2015;0532;1;alle;person;312;
befolkning_verdensregion;2015;0532;2;alle;person;195;
befolkning_verdensregion;2015;0532;1;1;person;189;
befolkning_verdensregion;2015;0532;2;1;person;77;
befolkning_verdensregion;2015;0532;1;0;person;123;
befolkning_verdensregion;2015;0532;2;0;person;118;
befolkning_verdensregion;2015;0533;1;alle;person;369;
befolkning_verdensregion;2015;0533;2;alle;person;448;
befolkning_verdensregion;2015;0533;1;1;person;202;
befolkning_verdensregion;2015;0533;2;1;person;203;
befolkning_verdensregion;2015;0533;1;0;person;167;
befolkning_verdensregion;2015;0533;2;0;person;245;
befolkning_verdensregion;2015;0534;1;alle;person;489;
befolkning_verdensregion;2015;0534;2;alle;person;580;
befolkning_verdensregion;2015;0534;1;1;person;296;
befolkning_verdensregion;2015;0534;2;1;person;271;
befolkning_verdensregion;2015;0534;1;0;person;193;
befolkning_verdensregion;2015;0534;2;0;person;309;
befolkning_verdensregion;2015;0536;1;alle;person;204;
befolkning_verdensregion;2015;0536;2;alle;person;227;
befolkning_verdensregion;2015;0536;1;1;person;108;
befolkning_verdensregion;2015;0536;2;1;person;138;
befolkning_verdensregion;2015;0536;1;0;person;96;
befolkning_verdensregion;2015;0536;2;0;person;89;
befolkning_verdensregion;2015;0538;1;alle;person;206;
befolkning_verdensregion;2015;0538;2;alle;person;178;
befolkning_verdensregion;2015;0538;1;1;person;122;
befolkning_verdensregion;2015;0538;2;1;person;83;
befolkning_verdensregion;2015;0538;1;0;person;84;
befolkning_verdensregion;2015;0538;2;0;person;95;
befolkning_verdensregion;2015;0540;1;alle;person;120;
befolkning_verdensregion;2015;0540;2;alle;person;74;
befolkning_verdensregion;2015;0540;1;1;person;68;
befolkning_verdensregion;2015;0540;2;1;person;42;
befolkning_verdensregion;2015;0540;1;0;person;52;
