tabell_navn;aar;naringsregion_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;37;vest_europa;alle;person;1092;
befolkning_verdensregion;2015;37;eu_ost_europa;alle;person;4473;
befolkning_verdensregion;2015;37;ost_europa_ellers;alle;person;883;
befolkning_verdensregion;2015;37;nord_amerika_oseania;alle;person;171;
befolkning_verdensregion;2015;37;asia;alle;person;2304;
befolkning_verdensregion;2015;37;afrika;alle;person;858;
befolkning_verdensregion;2015;37;sor_og_mellom_amerika;alle;person;370;
befolkning_verdensregion;2015;37;alle;alle;person;11117;
befolkning_verdensregion;2015;38;norden;alle;person;173;
befolkning_verdensregion;2015;38;vest_europa;alle;person;424;
befolkning_verdensregion;2015;38;eu_ost_europa;alle;person;950;
befolkning_verdensregion;2015;38;ost_europa_ellers;alle;person;142;
befolkning_verdensregion;2015;38;nord_amerika_oseania;alle;person;28;
befolkning_verdensregion;2015;38;asia;alle;person;379;
befolkning_verdensregion;2015;38;afrika;alle;person;327;
befolkning_verdensregion;2015;38;sor_og_mellom_amerika;alle;person;32;
befolkning_verdensregion;2015;38;alle;alle;person;2455;
befolkning_verdensregion;2015;39;norden;alle;person;4447;
befolkning_verdensregion;2015;39;vest_europa;alle;person;7262;
befolkning_verdensregion;2015;39;eu_ost_europa;alle;person;14477;
befolkning_verdensregion;2015;39;ost_europa_ellers;alle;person;3949;
befolkning_verdensregion;2015;39;nord_amerika_oseania;alle;person;1571;
befolkning_verdensregion;2015;39;asia;alle;person;12432;
befolkning_verdensregion;2015;39;afrika;alle;person;4471;
befolkning_verdensregion;2015;39;sor_og_mellom_amerika;alle;person;1864;
befolkning_verdensregion;2015;39;alle;alle;person;50473;
befolkning_verdensregion;2015;40;norden;alle;person;2645;
befolkning_verdensregion;2015;40;vest_europa;alle;person;4745;
befolkning_verdensregion;2015;40;eu_ost_europa;alle;person;11154;
befolkning_verdensregion;2015;40;ost_europa_ellers;alle;person;2323;
befolkning_verdensregion;2015;40;nord_amerika_oseania;alle;person;925;
befolkning_verdensregion;2015;40;asia;alle;person;9616;
befolkning_verdensregion;2015;40;afrika;alle;person;4776;
befolkning_verdensregion;2015;40;sor_og_mellom_amerika;alle;person;2050;
befolkning_verdensregion;2015;40;alle;alle;person;38234;
befolkning_verdensregion;2015;41;norden;alle;person;155;
befolkning_verdensregion;2015;41;vest_europa;alle;person;225;
befolkning_verdensregion;2015;41;eu_ost_europa;alle;person;1213;
befolkning_verdensregion;2015;41;ost_europa_ellers;alle;person;146;
befolkning_verdensregion;2015;41;nord_amerika_oseania;alle;person;40;
befolkning_verdensregion;2015;41;asia;alle;person;366;
befolkning_verdensregion;2015;41;afrika;alle;person;88;
befolkning_verdensregion;2015;41;sor_og_mellom_amerika;alle;person;79;
befolkning_verdensregion;2015;41;alle;alle;person;2312;
befolkning_verdensregion;2015;42;norden;alle;person;169;
befolkning_verdensregion;2015;42;vest_europa;alle;person;339;
befolkning_verdensregion;2015;42;eu_ost_europa;alle;person;807;
befolkning_verdensregion;2015;42;ost_europa_ellers;alle;person;140;
befolkning_verdensregion;2015;42;nord_amerika_oseania;alle;person;24;
befolkning_verdensregion;2015;42;asia;alle;person;384;
befolkning_verdensregion;2015;42;afrika;alle;person;306;
befolkning_verdensregion;2015;42;sor_og_mellom_amerika;alle;person;32;
befolkning_verdensregion;2015;42;alle;alle;person;2201;
befolkning_verdensregion;2015;43;norden;alle;person;85;
befolkning_verdensregion;2015;43;vest_europa;alle;person;141;
befolkning_verdensregion;2015;43;eu_ost_europa;alle;person;334;
befolkning_verdensregion;2015;43;ost_europa_ellers;alle;person;51;
befolkning_verdensregion;2015;43;nord_amerika_oseania;alle;person;22;
befolkning_verdensregion;2015;43;asia;alle;person;205;
befolkning_verdensregion;2015;43;afrika;alle;person;163;
befolkning_verdensregion;2015;43;sor_og_mellom_amerika;alle;person;14;
befolkning_verdensregion;2015;43;alle;alle;person;1015;
befolkning_verdensregion;2015;44;norden;alle;person;162;
befolkning_verdensregion;2015;44;vest_europa;alle;person;271;
befolkning_verdensregion;2015;44;eu_ost_europa;alle;person;1385;
befolkning_verdensregion;2015;44;ost_europa_ellers;alle;person;120;
befolkning_verdensregion;2015;44;nord_amerika_oseania;alle;person;46;
befolkning_verdensregion;2015;44;asia;alle;person;418;
befolkning_verdensregion;2015;44;afrika;alle;person;249;
befolkning_verdensregion;2015;44;sor_og_mellom_amerika;alle;person;72;
befolkning_verdensregion;2015;44;alle;alle;person;2723;
befolkning_verdensregion;2015;45;norden;alle;person;72;
befolkning_verdensregion;2015;45;vest_europa;alle;person;122;
befolkning_verdensregion;2015;45;eu_ost_europa;alle;person;479;
befolkning_verdensregion;2015;45;ost_europa_ellers;alle;person;33;
befolkning_verdensregion;2015;45;nord_amerika_oseania;alle;person;13;
befolkning_verdensregion;2015;45;asia;alle;person;126;
befolkning_verdensregion;2015;45;afrika;alle;person;73;
befolkning_verdensregion;2015;45;sor_og_mellom_amerika;alle;person;24;
befolkning_verdensregion;2015;45;alle;alle;person;942;
befolkning_verdensregion;2015;46;norden;alle;person;506;
befolkning_verdensregion;2015;46;vest_europa;alle;person;731;
befolkning_verdensregion;2015;46;eu_ost_europa;alle;person;2396;
befolkning_verdensregion;2015;46;ost_europa_ellers;alle;person;337;
befolkning_verdensregion;2015;46;nord_amerika_oseania;alle;person;69;
befolkning_verdensregion;2015;46;asia;alle;person;1137;
befolkning_verdensregion;2015;46;afrika;alle;person;457;
befolkning_verdensregion;2015;46;sor_og_mellom_amerika;alle;person;150;
befolkning_verdensregion;2015;46;alle;alle;person;5783;
befolkning_verdensregion;2015;47;norden;alle;person;317;
befolkning_verdensregion;2015;47;vest_europa;alle;person;636;
befolkning_verdensregion;2015;47;eu_ost_europa;alle;person;2243;
befolkning_verdensregion;2015;47;ost_europa_ellers;alle;person;252;
befolkning_verdensregion;2015;47;nord_amerika_oseania;alle;person;98;
befolkning_verdensregion;2015;47;asia;alle;person;1121;
befolkning_verdensregion;2015;47;afrika;alle;person;545;
befolkning_verdensregion;2015;47;sor_og_mellom_amerika;alle;person;211;
befolkning_verdensregion;2015;47;alle;alle;person;5423;
befolkning_verdensregion;2015;48;norden;alle;person;68;
befolkning_verdensregion;2015;48;vest_europa;alle;person;172;
befolkning_verdensregion;2015;48;eu_ost_europa;alle;person;353;
befolkning_verdensregion;2015;48;ost_europa_ellers;alle;person;65;
befolkning_verdensregion;2015;48;nord_amerika_oseania;alle;person;20;
befolkning_verdensregion;2015;48;asia;alle;person;136;
befolkning_verdensregion;2015;48;afrika;alle;person;51;
befolkning_verdensregion;2015;48;sor_og_mellom_amerika;alle;person;51;
befolkning_verdensregion;2015;48;alle;alle;person;916;
befolkning_verdensregion;2015;49;norden;alle;person;312;
befolkning_verdensregion;2015;49;vest_europa;alle;person;514;
befolkning_verdensregion;2015;49;eu_ost_europa;alle;person;1415;
