Nr;Navn;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24
515;Vågå;2;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1868;Øksnes;0;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1621;Ørland;7;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1520;Ørsta;16;16;16;16;38;44;44;25;31;25;12;25;31;31;25;50;0;0;19;0;0;0;0;0
528;Østre Toten;16;16;16;16;19;38;44;6;81;50;44;69;0;12;12;25;0;0;0;0;0;0;0;0
624;Øvre Eiker;37;39;39;39;49;54;79;26;49;36;13;64;3;10;8;10;0;0;0;0;0;0;0;0
521;Øyer;11;15;15;16;64;47;47;6;27;40;33;56;9;13;13;25;0;0;7;6;0;0;0;6
1259;Øygarden;22;23;23;23;23;30;26;4;64;57;52;48;14;13;13;39;0;0;9;0;0;0;0;0
1630;Åfjord;0;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1504;Ålesund;79;93;93;93;39;71;72;30;59;22;20;57;1;8;5;13;0;0;2;0;0;0;0;0
214;Ås;23;31;31;31;30;61;77;19;57;35;19;65;13;3;3;13;0;0;0;3;0;0;0;3
1026;Åseral;5;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
425;Åsnes;11;11;11;11;64;55;55;27;36;36;36;27;0;9;9;45;0;0;0;0;0;0;0;0
