"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
723,2015,"kroner","tilskudd",24400,0,0,0,0,2120000,5661000,3541000,1390650,0,7076050,7076050,0
728,2015,"kroner","tilskudd",0,0,0,191300,0,1274000,3270400,1996400,1162925,0,4624625,4624625,0
805,2015,"kroner","tilskudd",240000,0,2100000,3698467,334022,13727000,41439000,27712000,11055641.68,0,58867130.68,58867130.68,0
806,2015,"kroner","tilskudd",366000,0,0,6966510,9858435,20290000,77252650,56962650,17692249.99,0,112135845,112135844.99,0.010000005364418
807,2015,"kroner","tilskudd",217600,700000,304400,4431291,2686537,16920000,42335900,25415900,5790787.5,0,56466515.5,56466515.5,0
811,2015,"kroner","tilskudd",24400,0,0,0,0,1820000,7525000,5705000,1502900,0,9052300,9052300,0
814,2015,"kroner","tilskudd",166800,0,157500,3246691,5172904,14373000,38686200,24313200,4448812.5,0,51878907.5,51878907.5,0
815,2015,"kroner","tilskudd",122000,0,152200,3361726,3292840,9398000,30540400,21142400,4022212.5,0,41491378.5,41491378.5,0
817,2015,"kroner","tilskudd",122000,400000,0,0,789473,5025000,10970000,5945000,1812575,0,14094048,14094048,0
819,2015,"kroner","tilskudd",23400,0,157500,191300,1333816,4753000,10749600,5996600,6812920.82,0,19268536.82,19268536.82,0
821,2015,"kroner","tilskudd",0,0,0,382600,4000981,3420000,11378200,7958200,1804637.5,0,17566418.5,17566418.5,0
822,2015,"kroner","tilskudd",97600,750000,0,0,2008180,6365000,15782600,9417600,2201175,0,20839555,20839555,0
826,2015,"kroner","tilskudd",122000,150000,0,1817350,852900,8458000,20406700,11948700,9389808.33,0,32738758.33,32738758.33,0
827,2015,"kroner","tilskudd",24400,0,0,765200,1161100,3054000,6218000,3164000,1104300,0,9273000,9273000,0
828,2015,"kroner","tilskudd",73200,100000,0,47825,0,1920000,7256200,5336200,1704200,0,9181425,9181425,0
829,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,211900,0,211900,211900,0
830,2015,"kroner","tilskudd",73200,250000,0,382600,0,2730000,2730000,0,950800,0,4386600,4386600,0
831,2015,"kroner","tilskudd",73200,50000,0,0,0,2740000,7210000,4470000,1108300,0,8441500,8441500,0
833,2015,"kroner","tilskudd",122000,250000,0,143475,0,2880000,2880000,0,175175,0,3570650,3570650,0
834,2015,"kroner","tilskudd",0,0,0,223183,0,1556000,4627000,3071000,1241212.5,0,6091395.5,6091395.5,0
901,2015,"kroner","tilskudd",24400,0,0,2566609,2069732,5944000,17571600,11627600,7746337.5,0,29978678.5,29978678.5,0
904,2015,"kroner","tilskudd",365000,750000,157500,3824525,3506284,17528400,44816600,27288200,7195000,0,60614909,60614909,0
906,2015,"kroner","tilskudd",244000,950000,157500,5194036,6978081,15827000,52390800,36563800,10725175,0,76639592,76639592,0
911,2015,"kroner","tilskudd",0,0,0,0,634736,696000,7471600,6775600,1722825,0,9829161,9829161,0
