"";"nr";"navn";"bosatte";"anmodning";"vedtak";"ved_anm";"bos_anm";"Personer";"bos_pers"
"187";1130;"Strand";14;20;15;0,75;0,7;11533;1,21390791641377
"188";1133;"Hjelmeland";11;15;10;0,666666666666667;0,733333333333333;2807;3,91877449234058
"189";1134;"Suldal";1;15;0;0;0,0666666666666667;3845;0,260078023407022
"190";1135;"Sauda";0;15;0;0;0;4754;0
"191";1141;"Finnøy";0;10;0;0;0;2955;0
"192";1142;"Rennesøy";10;15;10;0,666666666666667;0,666666666666667;4388;2,27894257064722
"193";1144;"Kvitsøy";0;5;0;0;0;519;0
"194";1145;"Bokn";0;5;0;0;0;851;0
"195";1146;"Tysvær";19;30;20;0,666666666666667;0,633333333333333;10320;1,84108527131783
"196";1149;"Karmøy";42;55;40;0,727272727272727;0,763636363636364;40536;1,03611604499704
"197";1151;"Utsira";0;5;0;0;0;218;0
"198";1160;"Vindafjord";22;15;15;1;1,46666666666667;8447;2,6044749615248
"199";1201;"Bergen";278;300;265;0,883333333333333;0,926666666666667;263762;1,05398048240459
"200";1211;"Etne";0;15;0;0;0;3963;0
"201";1216;"Sveio";9;19;13;0,684210526315789;0,473684210526316;5228;1,72149961744453
"202";1219;"Bømlo";17;25;15;0,6;0,68;11503;1,47787533686864
"203";1221;"Stord";10;20;10;0,5;0,5;17957;0,556885894080303
"204";1222;"Fitjar";0;10;0;0;0;2944;0
"205";1223;"Tysnes";0;10;0;0;0;2766;0
"206";1224;"Kvinnherad";23;20;15;0,75;1,15;13318;1,72698603393903
"207";1227;"Jondal";0;5;0;0;0;1050;0
"208";1228;"Odda";0;25;0;0;0;6946;0
"209";1231;"Ullensvang";15;20;15;0,75;0,75;3417;4,38981562774364
"210";1232;"Eidfjord";0;5;0;0;0;957;0
"211";1233;"Ulvik";0;5;0;0;0;1112;0
"212";1234;"Granvin";0;5;0;0;0;923;0
"213";1235;"Voss";15;40;0;0;0,375;13978;1,07311489483474
"214";1238;"Kvam";13;25;15;0,6;0,52;8522;1,5254635062192
"215";1241;"Fusa";0;10;0;0;0;3811;0
"216";1242;"Samnanger";0;10;0;0;0;2417;0
"217";1243;"Os (Hord.)";9;20;10;0,5;0,45;17726;0,50772876001354
"218";1244;"Austevoll";0;20;0;0;0;4792;0
"219";1245;"Sund";2;15;0;0;0,133333333333333;6409;0,312061163988142
"220";1246;"Fjell";15;30;20;0,666666666666667;0,5;22720;0,660211267605634
"221";1247;"Askøy";25;35;25;0,714285714285714;0,714285714285714;26210;0,95383441434567
"222";1251;"Vaksdal";8;20;6;0,3;0,4;4138;1,93330111164814
"223";1252;"Modalen";0;5;0;0;0;370;0
"224";1253;"Osterøy";0;20;0;0;0;7521;0
"225";1256;"Meland";0;15;0;0;0;7036;0
"226";1259;"Øygarden";13;25;15;0,6;0,52;4419;2,9418420457117
"227";1260;"Radøy";2;15;0;0;0,133333333333333;4952;0,403877221324717
"228";1263;"Lindås";10;25;17;0,68;0,4;14668;0,681756203981456
"229";1264;"Austrheim";0;10;0;0;0;2776;0
"230";1265;"Fedje";0;5;0;0;0;576;0
"231";1266;"Masfjorden";0;5;0;0;0;1683;0
"232";1401;"Flora";31;35;25;0,714285714285714;0,885714285714286;11654;2,66003089068131
"233";1411;"Gulen";0;10;0;0;0;2310;0
"234";1412;"Solund";0;5;0;0;0;851;0
"235";1413;"Hyllestad";0;5;0;0;0;1461;0
"236";1416;"Høyanger";1;10;9;0,9;0,1;4216;0,23719165085389
"237";1417;"Vik";0;10;0;0;0;2748;0
"238";1418;"Balestrand";0;15;0;0;0;1338;0
"239";1419;"Leikanger";2;15;0;0;0,133333333333333;2236;0,894454382826476
"240";1420;"Sogndal";16;20;20;1;0,8;7348;2,17746325530757
"241";1421;"Aurland";0;5;0;0;0;1712;0
"242";1422;"Lærdal";0;10;0;0;0;2205;0
"243";1424;"Årdal";0;15;0;0;0;5572;0
"244";1426;"Luster";5;15;5;0,333333333333333;0,333333333333333;5026;0,994826900119379
"245";1428;"Askvoll";0;10;0;0;0;3010;0
"246";1429;"Fjaler";0;10;0;0;0;2832;0
"247";1430;"Gaular";0;10;0;0;0;2848;0
"248";1431;"Jølster";6;15;5;0,333333333333333;0,4;3052;1,96592398427261
"249";1432;"Førde";18;30;20;0,666666666666667;0,6;12307;1,4625822702527
"250";1433;"Naustdal";0;10;0;0;0;2710;0
"251";1438;"Bremanger";0;20;0;0;0;3891;0
"252";1439;"Vågsøy";0;10;0;0;0;6129;0
"253";1441;"Selje";0;10;0;0;0;2831;0
"254";1443;"Eid";3;30;8;0,266666666666667;0,1;5950;0,504201680672269
"255";1444;"Hornindal";0;5;0;0;0;1220;0
