"";"data...1.";"data...i."
"1";NA;"ar.1986"
"2";NA;"innvkat_5.alle"
"3";NA;"kjonn.alle"
"4";NA;"enhet.personer"
"467";"1901 Harstad (-2012)";"21947"
"468";"1902 Tromsø";"48091"
"469";"1903 Harstad";"0"
"470";"1911 Kvæfjord";"3723"
"471";"1913 Skånland";"3510"
"472";"1915 Bjarkøy (-2012)";"806"
"473";"1917 Ibestad";"2445"
"474";"1919 Gratangen";"1612"
"475";"1920 Lavangen";"1192"
"476";"1921 Salangen (-1977)";"0"
"477";"1922 Bardu";"4048"
"478";"1923 Salangen";"2526"
"479";"1924 Målselv";"7499"
"480";"1925 Sørreisa";"3472"
"481";"1926 Dyrøy";"1706"
"482";"1927 Tranøy";"2137"
"483";"1928 Torsken";"1438"
"484";"1929 Berg";"1317"
"485";"1931 Lenvik";"11176"
"486";"1933 Balsfjord";"6717"
"487";"1936 Karlsøy";"2965"
"488";"1938 Lyngen";"3735"
"489";"1939 Omasvuotna Storfjord Omasvuonon";"1917"
"490";"1940 Gáivuotna Kåfjord";"2944"
"491";"1941 Skjervøy";"3320"
"492";"1942 Nordreisa";"4768"
"493";"1943 Kvænangen";"1691"
"494";"1999 Uoppgitt kommune Troms";"0"
"495";"2001 Hammerfest (-1991)";"7087"
"496";"2002 Vardø";"3243"
"497";"2003 Vadsø";"5958"
"498";"2004 Hammerfest";"0"
"499";"2011 Guovdageaidnu Kautokeino";"2925"
"500";"2012 Alta";"14000"
"501";"2014 Loppa";"1922"
"502";"2015 Hasvik";"1537"
"503";"2016 Sørøysund (-1991)";"2319"
"504";"2017 Kvalsund";"1505"
"505";"2018 Måsøy";"2018"
"506";"2019 Nordkapp";"4393"
"507";"2020 Porsanger Porsángu Porsanki";"4389"
"508";"2021 Kárásjohka Karasjok";"2694"
"509";"2022 Lebesby";"1811"
"510";"2023 Gamvik";"1523"
"511";"2024 Berlevåg";"1533"
"512";"2025 Deatnu Tana";"3309"
"513";"2027 Unjárga Nesseby";"1006"
"514";"2028 Båtsfjord";"2643"
"515";"2030 Sør-Varanger";"9853"
"516";"2099 Uoppgitt kommune Finnmark";"0"
"517";"2111 Longyearbyen";"0"
"518";"2112 Ny-Ålesund";"0"
"519";"2113 Barentsburg";"0"
"520";"2114 Hornsund";"0"
"521";"2115 Svea";"0"
"522";"2121 Bjørnøya";"0"
"523";"2131 Hopen";"0"
"524";"2199 Uoppgitt kommune Svalbard";"0"
"525";"2211 Jan Mayen";"0"
"526";"2299 Uoppgitt Jan Mayen";"0"
"527";"2300 Kontinentalsokkelen";"0"
"528";"2311 Sokkelen sør for 62° N";"0"
"529";"2321 Sokkelen nord for 62° N";"0"
"530";"2399 Sokkelen, uspesifisert";"0"
"531";"9999 Uoppgitt kommune";"0"
